org_pac_id,org_nm, measure_cd, measure_title, prf_rate
1759392079,OHH PHYSICIANS LLC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,83
1759392079,OHH PHYSICIANS LLC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,68
1759392079,OHH PHYSICIANS LLC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,55
1759392079,OHH PHYSICIANS LLC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,84
1759392079,OHH PHYSICIANS LLC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,
2264345206,MARSHFIELD CLINIC INC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",58
2264345206,MARSHFIELD CLINIC INC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
2264345206,MARSHFIELD CLINIC INC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,45
2264345206,MARSHFIELD CLINIC INC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,61
2264345206,MARSHFIELD CLINIC INC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,81
2264345206,MARSHFIELD CLINIC INC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,74
2365353885,THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",58
2365353885,THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,84
2365353885,THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,44
2365353885,THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,68
2365353885,THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,83
2365353885,THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,74
2365437837,ATLANTIC GENERAL HOSPITAL CORPORATION,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",68
2365437837,ATLANTIC GENERAL HOSPITAL CORPORATION,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
2365437837,ATLANTIC GENERAL HOSPITAL CORPORATION,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,46
2365437837,ATLANTIC GENERAL HOSPITAL CORPORATION,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,62
2365437837,ATLANTIC GENERAL HOSPITAL CORPORATION,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,77
2365437837,ATLANTIC GENERAL HOSPITAL CORPORATION,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,71
2567872070,LEXINGTON HEALTH INC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",61
2567872070,LEXINGTON HEALTH INC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
2567872070,LEXINGTON HEALTH INC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,49
2567872070,LEXINGTON HEALTH INC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,57
2567872070,LEXINGTON HEALTH INC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,84
2567872070,LEXINGTON HEALTH INC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,74
2860398526,TIDEWATER PHYSICIANS MULTISPECIALTY GROUP PC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",70
2860398526,TIDEWATER PHYSICIANS MULTISPECIALTY GROUP PC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,85
2860398526,TIDEWATER PHYSICIANS MULTISPECIALTY GROUP PC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,41
2860398526,TIDEWATER PHYSICIANS MULTISPECIALTY GROUP PC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,66
2860398526,TIDEWATER PHYSICIANS MULTISPECIALTY GROUP PC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,84
2860398526,TIDEWATER PHYSICIANS MULTISPECIALTY GROUP PC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,74
2961496609,NORTHEASTERN UTAH MEDICAL GROUP,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",54
2961496609,NORTHEASTERN UTAH MEDICAL GROUP,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
2961496609,NORTHEASTERN UTAH MEDICAL GROUP,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,
2961496609,NORTHEASTERN UTAH MEDICAL GROUP,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,
2961496609,NORTHEASTERN UTAH MEDICAL GROUP,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,77
2961496609,NORTHEASTERN UTAH MEDICAL GROUP,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,68
3072422716,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",
3072422716,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
3072422716,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,
3072422716,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,
3072422716,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,
3072422716,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,
3173660776,WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",58
3173660776,WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,83
3173660776,WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,50
3173660776,WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,54
3173660776,WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,77
3173660776,WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,71
3375531379,TEXAS DIGESTIVE DISEASE CONSULTANTS PLLC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",
3375531379,TEXAS DIGESTIVE DISEASE CONSULTANTS PLLC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
3375531379,TEXAS DIGESTIVE DISEASE CONSULTANTS PLLC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,45
3375531379,TEXAS DIGESTIVE DISEASE CONSULTANTS PLLC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,64
3375531379,TEXAS DIGESTIVE DISEASE CONSULTANTS PLLC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,
3375531379,TEXAS DIGESTIVE DISEASE CONSULTANTS PLLC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,
3476725599,UNIVERSITY OF LOUISVILLE PHYSICIANS INC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",64
3476725599,UNIVERSITY OF LOUISVILLE PHYSICIANS INC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,84
3476725599,UNIVERSITY OF LOUISVILLE PHYSICIANS INC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,50
3476725599,UNIVERSITY OF LOUISVILLE PHYSICIANS INC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,62
3476725599,UNIVERSITY OF LOUISVILLE PHYSICIANS INC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,83
3476725599,UNIVERSITY OF LOUISVILLE PHYSICIANS INC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,75
3779688650,ST JOSEPH MEDICAL GROUP,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",63
3779688650,ST JOSEPH MEDICAL GROUP,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,81
3779688650,ST JOSEPH MEDICAL GROUP,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,49
3779688650,ST JOSEPH MEDICAL GROUP,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,65
3779688650,ST JOSEPH MEDICAL GROUP,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,81
3779688650,ST JOSEPH MEDICAL GROUP,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,69
3779751656,CITY OF HOPE MEDICAL FOUNDATION,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",
3779751656,CITY OF HOPE MEDICAL FOUNDATION,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,86
3779751656,CITY OF HOPE MEDICAL FOUNDATION,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,66
3779751656,CITY OF HOPE MEDICAL FOUNDATION,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,
3779751656,CITY OF HOPE MEDICAL FOUNDATION,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,88
3779751656,CITY OF HOPE MEDICAL FOUNDATION,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,79
3870405483,THE MILTON S HERSHEY MEDICAL CENTER PHYSICIANS GROUP,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",57
3870405483,THE MILTON S HERSHEY MEDICAL CENTER PHYSICIANS GROUP,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
3870405483,THE MILTON S HERSHEY MEDICAL CENTER PHYSICIANS GROUP,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,48
3870405483,THE MILTON S HERSHEY MEDICAL CENTER PHYSICIANS GROUP,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,66
3870405483,THE MILTON S HERSHEY MEDICAL CENTER PHYSICIANS GROUP,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,
3870405483,THE MILTON S HERSHEY MEDICAL CENTER PHYSICIANS GROUP,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,
4082528484,"NORTHWEST OHIO ORTHOPEDICS AND SPORTS MEDICINE, INC",CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",66
4082528484,"NORTHWEST OHIO ORTHOPEDICS AND SPORTS MEDICINE, INC",CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,82
4082528484,"NORTHWEST OHIO ORTHOPEDICS AND SPORTS MEDICINE, INC",CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,55
4082528484,"NORTHWEST OHIO ORTHOPEDICS AND SPORTS MEDICINE, INC",CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,55
4082528484,"NORTHWEST OHIO ORTHOPEDICS AND SPORTS MEDICINE, INC",CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,84
4082528484,"NORTHWEST OHIO ORTHOPEDICS AND SPORTS MEDICINE, INC",CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,65
4284538778,SUTTER BAY MEDICAL FOUNDATION,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",53
4284538778,SUTTER BAY MEDICAL FOUNDATION,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,83
4284538778,SUTTER BAY MEDICAL FOUNDATION,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,41
4284538778,SUTTER BAY MEDICAL FOUNDATION,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,56
4284538778,SUTTER BAY MEDICAL FOUNDATION,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,82
4284538778,SUTTER BAY MEDICAL FOUNDATION,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,70
4385538735,PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",76
4385538735,PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
4385538735,PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,
4385538735,PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,
4385538735,PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,
4385538735,PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,
4486646197,SJHMC PHYSICIAN SERVICES,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",
4486646197,SJHMC PHYSICIAN SERVICES,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
4486646197,SJHMC PHYSICIAN SERVICES,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,59
4486646197,SJHMC PHYSICIAN SERVICES,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,
4486646197,SJHMC PHYSICIAN SERVICES,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,78
4486646197,SJHMC PHYSICIAN SERVICES,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,69
4587575550,THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",64
4587575550,THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,76
4587575550,THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,61
4587575550,THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,62
4587575550,THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,83
4587575550,THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,70
4587578042,LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",74
4587578042,LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,86
4587578042,LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,55
4587578042,LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,63
4587578042,LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,87
4587578042,LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,77
4789596362,FAIRFIELD HEALTHCARE PROFESSIONALS INC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",62
4789596362,FAIRFIELD HEALTHCARE PROFESSIONALS INC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,84
4789596362,FAIRFIELD HEALTHCARE PROFESSIONALS INC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,52
4789596362,FAIRFIELD HEALTHCARE PROFESSIONALS INC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,59
4789596362,FAIRFIELD HEALTHCARE PROFESSIONALS INC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,82
4789596362,FAIRFIELD HEALTHCARE PROFESSIONALS INC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,73
5092624320,SKAGGS COMMUNITY HOSPITAL ASSOCIATION,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",70
5092624320,SKAGGS COMMUNITY HOSPITAL ASSOCIATION,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
5092624320,SKAGGS COMMUNITY HOSPITAL ASSOCIATION,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,47
5092624320,SKAGGS COMMUNITY HOSPITAL ASSOCIATION,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,60
5092624320,SKAGGS COMMUNITY HOSPITAL ASSOCIATION,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,87
5092624320,SKAGGS COMMUNITY HOSPITAL ASSOCIATION,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,
5193900280,PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",
5193900280,PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
5193900280,PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,
5193900280,PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,
5193900280,PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,
5193900280,PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,
5294646378,"UNIVERSITY HEALTH SYSTEM, INC.",CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",66
5294646378,"UNIVERSITY HEALTH SYSTEM, INC.",CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
5294646378,"UNIVERSITY HEALTH SYSTEM, INC.",CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,47
5294646378,"UNIVERSITY HEALTH SYSTEM, INC.",CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,60
5294646378,"UNIVERSITY HEALTH SYSTEM, INC.",CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,84
5294646378,"UNIVERSITY HEALTH SYSTEM, INC.",CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,79
5698071173,MCHS HOSPITALS INC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",61
5698071173,MCHS HOSPITALS INC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
5698071173,MCHS HOSPITALS INC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,55
5698071173,MCHS HOSPITALS INC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,62
5698071173,MCHS HOSPITALS INC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,78
5698071173,MCHS HOSPITALS INC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,75
5799787784,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",52
5799787784,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
5799787784,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,42
5799787784,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,59
5799787784,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,80
5799787784,LESTER E COX MEDICAL CENTERS,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,71
5890606008,HOLZER CLINIC LLC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",76
5890606008,HOLZER CLINIC LLC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
5890606008,HOLZER CLINIC LLC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,
5890606008,HOLZER CLINIC LLC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,67
5890606008,HOLZER CLINIC LLC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,85
5890606008,HOLZER CLINIC LLC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,72
5890691075,RAPID CITY MEDICAL CENTER LLP,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",64
5890691075,RAPID CITY MEDICAL CENTER LLP,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,79
5890691075,RAPID CITY MEDICAL CENTER LLP,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,53
5890691075,RAPID CITY MEDICAL CENTER LLP,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,58
5890691075,RAPID CITY MEDICAL CENTER LLP,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,83
5890691075,RAPID CITY MEDICAL CENTER LLP,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,74
5991105876,OU HEALTH PARTNERS INC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",65
5991105876,OU HEALTH PARTNERS INC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,
5991105876,OU HEALTH PARTNERS INC,CAHPS_GRP_4,CAHPS for MIPS SSM: Access to Specialists,
5991105876,OU HEALTH PARTNERS INC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,61
5991105876,OU HEALTH PARTNERS INC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,80
5991105876,OU HEALTH PARTNERS INC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,70
