Transakcija_ID,Datum,Kod_Proizvoda,Cena_Tekst,Količina,Ocena_Kupca,Godine_Kupca,Grad
TXN-10130,2025-07-27 01:00:00,CAT_HOME-903,14.74,1.0,4.7,54.0,Beograd
TXN-10131,NEVAŽEĆI_DATUM,CAT_HOME-691,$331.96,5.0,3.6,55.0,Kragujevac
TXN-10132,2025-06-03 03:00:00,CAT_HOME-758,$165.41,2.0,4.8,36.0,Zrenjanin
TXN-10133,2025-10-25 08:00:00,CAT_HOME-116,88.68,1.0,1.9,47.0,Novi Sad
TXN-10134,2025-08-04 01:00:00,CAT_HOME-571,440.66,2.0,2.4,23.0,Zrenjanin
TXN-10135,2025-09-09 06:00:00,CAT_HOME-730,$310.31,3.0,2.9,52.0,Subotica
TXN-10136,2025-06-06 16:00:00,CAT_BEAUTY-563,,2.0,3.9,40.0,Beograd
TXN-10137,2025-06-19 11:00:00,CAT_CLOTH-873,$192.03,2.0,2.0,69.0,Novi Sad
TXN-10138,2025-12-18 19:00:00,CAT_HOME-301,$291.49,2.0,2.1,32.0,Kragujevac
TXN-10139,2025-07-25 16:00:00,CAT_BEAUTY-527,190.63,4.0,4.2,18.0,Beograd
TXN-10140,2025-03-12 05:00:00,CAT_HOME-127,370.33,1.0,2.2,69.0,Zrenjanin
TXN-10141,2025-09-13 00:00:00,CAT_HOME-559,113.38,1.0,3.7,49.0,Beograd
TXN-10142,2025-12-27 15:00:00,CAT_BEAUTY-278, $392.67 ,1.0,3.0,61.0,Novi Sad
TXN-10143,2025-04-06 03:00:00,CAT_BOOKS-950,$440.99,1.0,3.7,28.0,Niš
TXN-10144,2025-10-13 09:00:00,CAT_BOOKS-479,$240.4,1.0,2.1,47.0,Subotica
TXN-10145,2025-02-05 12:00:00,CAT_BOOKS-549, $387.93 ,2.0,3.2,28.0,Zrenjanin
TXN-10146,2025-06-28 22:00:00,CAT_BOOKS-900,130.37$,5.0,2.4,47.0,Subotica
TXN-10147,2025-04-08 19:00:00,CAT_ELEC-108,363.97,5.0,2.5,47.0,Kragujevac
TXN-10148,2025-10-12 04:00:00,CAT_HOME-138,$166.4,4.0,3.3,31.0,Subotica
TXN-10149,NEVAŽEĆI_DATUM,CAT_ELEC-395,$71.09,2.0,,64.0,Beograd
TXN-10150,2025-09-21 05:00:00,CAT_BOOKS-632,,3.0,4.2,67.0,Kragujevac
TXN-10151,2025-11-29 02:00:00,CAT_BOOKS-187,$176.33,1.0,1.9,69.0,Kragujevac
TXN-10152,2025-09-21 10:00:00,CAT_HOME-140,$491.0,1.0,3.1,36.0,Zrenjanin
TXN-10153,2025-09-19 02:00:00,CAT_HOME-648,459.17,2.0,3.4,28.0,Novi Sad
TXN-10154,2025-06-05 14:00:00,CAT_BOOKS-577,$61.15,3.0,2.8,60.0,Kragujevac
TXN-10155,2025-02-24 03:00:00,CAT_ELEC-220, $467.19 ,1.0,1.2,63.0,Novi Sad
TXN-10156,2025-06-14 09:00:00,CAT_CLOTH-220, $121.65 ,2.0,3.2,21.0,Niš
TXN-10157,2025-06-23 18:00:00,CAT_BEAUTY-264, $292.54 ,10.0,2.0,50.0,Subotica
TXN-10158,NEVAŽEĆI_DATUM,CAT_BOOKS-921, $290.48 ,1.0,,22.0,Zrenjanin
TXN-10159,2025-08-04 08:00:00,CAT_CLOTH-455,114.66$,1.0,3.3,68.0,Novi Sad
TXN-10160,2025-04-06 16:00:00,CAT_HOME-920,52.03$,1.0,2.4,54.0,Zrenjanin
TXN-10161,2025-05-05 08:00:00,CAT_BEAUTY-796,142.87$,1.0,3.8,41.0,Novi Sad
TXN-10162,2025-04-28 21:00:00,CAT_ELEC-753,$222.55,4.0,1.9,49.0,Beograd
TXN-10163,2025-10-25 20:00:00,CAT_HOME-888, $421.34 ,1.0,3.1,43.0,Zrenjanin
TXN-10164,2025-12-29 12:00:00,CAT_HOME-259,,3.0,4.4,29.0,Subotica
TXN-10165,2025-12-29 22:00:00,CAT_BOOKS-998, $105.54 ,2.0,4.1,20.0,Kragujevac
TXN-10166,2025-06-25 06:00:00,CAT_BOOKS-975, $56.3 ,3.0,2.3,69.0,Niš
TXN-10167,2025-09-19 08:00:00,CAT_HOME-794,38.01$,1.0,2.8,24.0,Niš
TXN-10168,2025-03-12 05:00:00,CAT_BEAUTY-810, $52.23 ,1.0,1.1,59.0,Subotica
TXN-10169,2025-08-24 13:00:00,CAT_BEAUTY-789,34.88,1.0,3.7,42.0,Zrenjanin
TXN-10170,,CAT_BOOKS-343,$194.26,1.0,3.7,41.0,Novi Sad
TXN-10171,2025-10-22 09:00:00,CAT_BOOKS-413,30.67$,1.0,4.4,44.0,Subotica
TXN-10172,2025-12-21 16:00:00,CAT_HOME-388,376.67,1.0,4.6,37.0,Niš
TXN-10173,NEVAŽEĆI_DATUM,CAT_BOOKS-509,414.87$,5.0,3.0,63.0,Niš
TXN-10174,2025-07-20 08:00:00,CAT_BEAUTY-128,12.6,1.0,4.7,33.0,Novi Sad
TXN-10175,2025-04-13 13:00:00,CAT_CLOTH-486,$469.8,5.0,2.1,23.0,Beograd
TXN-10176,2025-01-18 22:00:00,CAT_HOME-688,$457.98,2.0,2.9,18.0,Subotica
TXN-10177,,CAT_BEAUTY-394,374.53,4.0,4.3,42.0,Niš
TXN-10178,2025-06-09 18:00:00,CAT_BEAUTY-778,$160.41,2.0,4.5,58.0,Niš
TXN-10179,2025-03-02 05:00:00,CAT_HOME-401,$323.82,1.0,4.8,30.0,Niš
TXN-10180,2025-11-11 04:00:00,CAT_HOME-817,$492.5,3.0,1.2,30.0,Subotica
TXN-10181,2025-01-19 02:00:00,CAT_ELEC-809,$401.62,5.0,2.3,23.0,Subotica
TXN-10182,2025-08-04 13:00:00,CAT_HOME-302,46.18$,2.0,1.5,60.0,Zrenjanin
TXN-10183,2025-07-12 06:00:00,CAT_ELEC-341,$132.3,5.0,2.8,57.0,Beograd
TXN-10184,2025-01-30 01:00:00,CAT_CLOTH-383,$236.96,1.0,3.7,28.0,Zrenjanin
TXN-10185,2025-03-01 00:00:00,CAT_BOOKS-356,230.89$,2.0,1.3,35.0,Subotica
TXN-10186,2025-09-24 22:00:00,CAT_BOOKS-652,155.5,1.0,4.8,50.0,Kragujevac
TXN-10187,2025-11-29 01:00:00,CAT_BEAUTY-397, $280.22 ,5.0,2.7,61.0,Niš
TXN-10188,,CAT_ELEC-293, $396.4 ,1.0,4.0,30.0,Novi Sad
TXN-10189,2025-02-23 04:00:00,CAT_BOOKS-606,323.6$,1.0,2.7,45.0,Kragujevac
TXN-10190,2025-09-15 05:00:00,CAT_BOOKS-245,298.2$,1.0,2.7,40.0,Niš
TXN-10191,2025-02-20 02:00:00,CAT_CLOTH-670,346.74$,3.0,4.0,43.0,Kragujevac
TXN-10192,2025-01-15 12:00:00,CAT_ELEC-649,253.7$,4.0,3.5,52.0,Zrenjanin
TXN-10193,2025-12-10 13:00:00,CAT_HOME-124,157.67$,1.0,3.5,30.0,Subotica
TXN-10194,2025-01-05 22:00:00,CAT_BOOKS-210, $193.68 ,10.0,1.9,20.0,Subotica
TXN-10195,2025-08-23 02:00:00,CAT_BEAUTY-127,246.43,1.0,2.4,22.0,Subotica
TXN-10196,2025-07-16 11:00:00,CAT_HOME-912,197.07,1.0,1.9,45.0,Subotica
TXN-10197,2025-03-31 16:00:00,CAT_CLOTH-949,312.98,2.0,1.7,45.0,Beograd
TXN-10198,NEVAŽEĆI_DATUM,CAT_HOME-544, $380.07 ,2.0,1.2,43.0,Subotica
TXN-10199,2025-01-25 20:00:00,CAT_ELEC-195,$107.36,2.0,2.6,53.0,Niš
TXN-10200,2025-10-05 01:00:00,CAT_BOOKS-829,$245.86,2.0,1.4,49.0,Beograd
TXN-10201,2025-10-22 00:00:00,CAT_HOME-568, $183.04 ,1.0,1.3,66.0,Novi Sad
TXN-10202,2025-10-03 01:00:00,CAT_BEAUTY-132, $24.69 ,2.0,3.4,50.0,Novi Sad
TXN-10203,2025-01-22 20:00:00,CAT_BOOKS-517,$419.89,1.0,1.9,63.0,Kragujevac
TXN-10204,NEVAŽEĆI_DATUM,CAT_CLOTH-523, $448.61 ,2.0,3.7,55.0,Novi Sad
TXN-10205,2025-03-25 23:00:00,CAT_HOME-620,459.61$,1.0,4.4,50.0,Novi Sad
TXN-10206,NEVAŽEĆI_DATUM,CAT_CLOTH-234,88.78,1.0,2.9,24.0,Novi Sad
TXN-10207,2025-10-30 07:00:00,CAT_ELEC-620,268.66,1.0,1.4,58.0,Beograd
TXN-10208,2025-02-24 17:00:00,CAT_BEAUTY-611, $371.95 ,1.0,3.4,30.0,Kragujevac
TXN-10209,2025-01-12 14:00:00,CAT_ELEC-571,$44.55,1.0,3.7,37.0,Niš
TXN-10210,2025-06-10 08:00:00,CAT_ELEC-865, $136.14 ,2.0,4.6,41.0,Novi Sad
TXN-10211,2025-01-28 17:00:00,CAT_BOOKS-954,,2.0,3.0,32.0,Niš
TXN-10212,2025-01-18 05:00:00,CAT_ELEC-485, $236.53 ,2.0,2.7,64.0,Niš
TXN-10213,2025-05-14 17:00:00,CAT_CLOTH-617,79.65$,3.0,2.2,42.0,Beograd
TXN-10214,2025-02-08 22:00:00,CAT_HOME-246,46.42,1.0,4.2,26.0,Kragujevac
TXN-10215,2025-01-11 01:00:00,CAT_HOME-736,,1.0,2.0,48.0,Novi Sad
TXN-10216,2025-07-28 00:00:00,CAT_BEAUTY-904,$25.45,1.0,4.3,40.0,Beograd
TXN-10217,2025-09-03 20:00:00,CAT_HOME-385,$42.55,1.0,3.6,27.0,Subotica
TXN-10218,2025-04-05 17:00:00,CAT_HOME-910,66.77$,3.0,4.4,63.0,Novi Sad
TXN-10219,2025-12-11 21:00:00,CAT_BEAUTY-109,$105.47,1.0,1.3,61.0,Niš
TXN-10220,2025-10-03 13:00:00,CAT_BOOKS-345,284.33,2.0,2.5,64.0,Subotica
TXN-10221,2025-01-06 06:00:00,CAT_HOME-507,192.33$,1.0,4.3,56.0,Subotica
TXN-10222,2025-05-15 09:00:00,CAT_HOME-992,219.53,2.0,1.2,67.0,Zrenjanin
TXN-10223,2025-10-07 14:00:00,CAT_BOOKS-609,345.68,3.0,2.6,37.0,Beograd
TXN-10224,2025-03-21 22:00:00,CAT_ELEC-994,99.44,1.0,1.7,38.0,Kragujevac
TXN-10225,2025-03-06 09:00:00,CAT_BEAUTY-546, $64.71 ,4.0,1.8,37.0,Kragujevac
TXN-10226,2025-09-13 19:00:00,CAT_CLOTH-726,354.6,1.0,3.9,60.0,Niš
TXN-10227,NEVAŽEĆI_DATUM,CAT_ELEC-798,498.7$,1.0,1.3,56.0,Kragujevac
TXN-10228,2025-05-05 11:00:00,CAT_CLOTH-534,245.98,3.0,4.9,24.0,Niš
TXN-10229,2025-09-26 13:00:00,CAT_HOME-242,$285.04,3.0,4.0,45.0,Subotica
TXN-10230,2025-06-24 11:00:00,CAT_CLOTH-688,111.57,1.0,4.1,21.0,Kragujevac
TXN-10231,NEVAŽEĆI_DATUM,CAT_CLOTH-888,373.39$,1.0,3.1,20.0,Niš
TXN-10232,NEVAŽEĆI_DATUM,CAT_HOME-358, $174.78 ,3.0,1.8,30.0,Kragujevac
TXN-10233,2025-10-17 11:00:00,CAT_ELEC-549,167.14,1.0,1.0,58.0,Novi Sad
TXN-10234,2025-10-27 15:00:00,CAT_CLOTH-259,,1.0,3.7,46.0,Beograd
TXN-10235,2025-04-21 13:00:00,CAT_BEAUTY-132, $324.82 ,2.0,4.6,65.0,Subotica
TXN-10236,2025-05-12 19:00:00,CAT_ELEC-681,$367.26,4.0,1.1,26.0,Novi Sad
TXN-10237,2025-05-17 09:00:00,CAT_BEAUTY-662,$245.67,1.0,3.5,19.0,Kragujevac
TXN-10238,2025-07-07 19:00:00,CAT_CLOTH-603,335.03$,1.0,4.0,50.0,Zrenjanin
TXN-10239,2025-06-11 15:00:00,CAT_BEAUTY-524,457.24$,1.0,1.6,32.0,Novi Sad
TXN-10240,2025-11-15 20:00:00,CAT_CLOTH-530, $481.92 ,1.0,4.6,25.0,Kragujevac
TXN-10241,2025-02-13 14:00:00,CAT_HOME-921,$468.38,1.0,3.2,56.0,Zrenjanin
TXN-10242,2025-04-19 05:00:00,CAT_CLOTH-997,391.41$,2.0,3.2,51.0,Beograd
TXN-10243,NEVAŽEĆI_DATUM,CAT_BOOKS-939,363.52,1.0,2.8,31.0,Niš
TXN-10244,2025-01-24 16:00:00,CAT_HOME-853, $449.16 ,2.0,4.4,44.0,Novi Sad
TXN-10245,,CAT_HOME-899,252.15,4.0,,47.0,Novi Sad
TXN-10246,2025-08-29 10:00:00,CAT_BEAUTY-224,444.36,2.0,1.8,66.0,Beograd
TXN-10247,2025-04-08 01:00:00,CAT_CLOTH-398,366.63,2.0,4.6,25.0,Beograd
TXN-10248,2025-07-10 01:00:00,CAT_BEAUTY-841,339.9,4.0,1.3,34.0,Beograd
TXN-10249,2025-10-05 00:00:00,CAT_CLOTH-337,189.39,4.0,4.4,62.0,Niš
TXN-10250,2025-07-24 11:00:00,CAT_CLOTH-782,,3.0,2.0,46.0,Beograd
TXN-10251,2025-07-16 13:00:00,CAT_HOME-569,373.5,4.0,1.5,32.0,Subotica
TXN-10252,2025-06-30 09:00:00,CAT_CLOTH-103,$393.6,1.0,3.8,49.0,Kragujevac
TXN-10253,2025-03-12 10:00:00,CAT_BEAUTY-880,100.18,1.0,4.5,42.0,Zrenjanin
TXN-10254,2025-08-14 14:00:00,CAT_BOOKS-766,$183.36,5.0,2.4,36.0,Subotica
