ID_Porudzbine,Datum,Proizvod,Kategorija,Kolicina,Prodajna_Cena,Nabavna_Cena,Grad
ORD_10098,2025-07-14,Laptop ASUS ZenBook,Elektronika,5.0,940.59 RSD,750,Novi Sad
ORD_10099,2025-10-03,Mehanicka Tastatura,Periferije,4.0,69.73 RSD,35,Kragujevac
ORD_10100,2025-04-23,Samsung S24 Ultra,Elektronika,4.0,1113.17 RSD,900,Nis
ORD_10101,2026-01-06,Kancelarijska Stolica,Namestaj,4.0,146.59 RSD,70,Beograd
ORD_10102,2025-01-14,Slusalice ANC,Periferije,5.0,100.42 RSD,50,
ORD_10103,2025-11-26,Laptop ASUS ZenBook,Elektronika,1.0,1046.89 RSD,750,Beograd
ORD_10104,2025-07-14,Laptop ASUS ZenBook,Elektronika,3.0,1134.66 RSD,750,Novi Sad
ORD_10105,2026-01-21,Mehanicka Tastatura,Periferije,3.0,71.99 RSD,35,Subotica
ORD_10106,2026-01-19,Gaming Mis RGB,Periferije,1.0,46.6 RSD,20,Novi Sad
ORD_10107,2026-02-04,Samsung S24 Ultra,Elektronika,,1301.44 RSD,900,Subotica
ORD_10108,2026-03-06,Samsung S24 Ultra,Elektronika,2.0,1164.49,900,Beograd
ORD_10109,2025-10-16,Gaming Mis RGB,Periferije,1.0,43.27 RSD,20,Novi Sad
ORD_10110,2025-11-07,Kancelarijska Stolica,Namestaj,2.0,136.19 RSD,70,Subotica
ORD_10111,2025-02-25,iPhone 15 Pro,Elektronika,3.0,1058.69 RSD,850,Kragujevac
ORD_10112,2026-01-02,Mehanicka Tastatura,Periferije,4.0,82.88 RSD,35,
ORD_10113,2025-12-23,Samsung S24 Ultra,Elektronika,1.0,1315.11 RSD,900,Kragujevac
ORD_10114,2026-02-05,HP Pavilion Gaming,Elektronika,5.0,927.85,680,
ORD_10115,2025-09-17,Kancelarijska Stolica,Namestaj,,153.64 RSD,70,Nis
ORD_10116,2025-08-10,Gaming Mis RGB,Periferije,1.0,50.54 RSD,20,Nis
ORD_10117,2025-04-01,iPhone 15 Pro,Elektronika,4.0,1064.78 RSD,850,Novi Sad
ORD_10118,2026-02-01,Slusalice ANC,Periferije,5.0,113.14 RSD,50,
ORD_10119,2025-06-15,Slusalice ANC,Periferije,3.0,105.37 RSD,50,Subotica
ORD_10120,2025-05-05,Radni Sto Podesivi,Namestaj,4.0,252.87 RSD,120,
ORD_10121,2025-01-15,Mehanicka Tastatura,Periferije,3.0,82.34 RSD,35,Nis
ORD_10122,2026-02-13,Samsung S24 Ultra,Elektronika,3.0,1187.68 RSD,900,Kragujevac
ORD_10123,2025-01-06,Radni Sto Podesivi,Namestaj,5.0,218.0 RSD,120,Beograd
ORD_10124,2025-10-12,Mehanicka Tastatura,Periferije,4.0,71.65 RSD,35,
ORD_10125,2026-02-10,Gaming Mis RGB,Periferije,4.0,46.77,20,Nis
ORD_10126,2025-12-06,Samsung S24 Ultra,Elektronika,3.0,1317.68 RSD,900,Kragujevac
ORD_10127,2026-01-17,Kancelarijska Stolica,Namestaj,4.0,153.32 RSD,70,Nis
ORD_10128,2025-05-09,Radni Sto Podesivi,Namestaj,3.0,212.85 RSD,120,Novi Sad
ORD_10129,2026-01-26,HP Pavilion Gaming,Elektronika,5.0,904.54 RSD,680,
ORD_10130,2026-01-06,Gaming Mis RGB,Periferije,3.0,46.67 RSD,20,Kragujevac
ORD_10131,2026-03-03,Radni Sto Podesivi,Namestaj,1.0,223.61 RSD,120,Beograd
ORD_10132,2025-12-29,Radni Sto Podesivi,Namestaj,1.0,218.49 RSD,120,Subotica
ORD_10133,2025-12-24,Dell Monitor 27,Elektronika,3.0,275.26 RSD,180,Nis
ORD_10134,2025-10-21,HP Pavilion Gaming,Elektronika,1.0,986.65 RSD,680,Novi Sad
ORD_10135,2025-05-10,iPhone 15 Pro,Elektronika,1.0,1097.57 RSD,850,Subotica
ORD_10136,2025-02-07,Mehanicka Tastatura,Periferije,4.0,76.3 RSD,35,Beograd
ORD_10137,2025-06-05,iPhone 15 Pro,Elektronika,5.0,1188.72,850,Kragujevac
ORD_10138,2025-11-02,Mehanicka Tastatura,Periferije,5.0,73.82 RSD,35,Kragujevac
ORD_10139,2025-08-15,Mehanicka Tastatura,Periferije,4.0,83.55 RSD,35,Nis
ORD_10140,2025-11-14,Radni Sto Podesivi,Namestaj,5.0,260.62,120,Subotica
ORD_10141,2025-05-16,Samsung S24 Ultra,Elektronika,2.0,1170.46 RSD,900,Beograd
ORD_10142,2025-03-22,Dell Monitor 27,Elektronika,1.0,284.83,180,Kragujevac
ORD_10143,2025-01-17,Gaming Mis RGB,Periferije,3.0,45.51 RSD,20,
ORD_10144,2025-12-18,Gaming Mis RGB,Periferije,1.0,45.35 RSD,20,
ORD_10145,2025-08-06,Slusalice ANC,Periferije,2.0,94.31 RSD,50,Beograd
ORD_10146,2025-02-06,Radni Sto Podesivi,Namestaj,2.0,242.98,120,Kragujevac
ORD_10147,2025-08-13,Slusalice ANC,Periferije,3.0,104.56 RSD,50,
ORD_10148,2025-09-14,Mehanicka Tastatura,Periferije,3.0,68.82 RSD,35,Kragujevac
ORD_10149,2026-01-12,Laptop ASUS ZenBook,Elektronika,4.0,996.3 RSD,750,Subotica
ORD_10150,2025-10-28,Samsung S24 Ultra,Elektronika,5.0,1341.15 RSD,900,
ORD_10151,2025-01-21,Radni Sto Podesivi,Namestaj,5.0,224.48 RSD,120,Kragujevac
ORD_10152,2025-04-03,Gaming Mis RGB,Periferije,3.0,43.95 RSD,20,Nis
ORD_10153,2025-06-28,HP Pavilion Gaming,Elektronika,4.0,900.5 RSD,680,Subotica
ORD_10154,2025-07-30,iPhone 15 Pro,Elektronika,3.0,1256.56 RSD,850,Nis
ORD_10155,2025-08-21,Dell Monitor 27,Elektronika,1.0,269.52,180,Subotica
ORD_10156,2026-02-27,Mehanicka Tastatura,Periferije,5.0,78.75 RSD,35,Kragujevac
ORD_10157,2025-01-28,Gaming Mis RGB,Periferije,4.0,50.12 RSD,20,Nis
ORD_10158,2025-04-15,Gaming Mis RGB,Periferije,1.0,44.88 RSD,20,Novi Sad
ORD_10159,2025-03-04,Gaming Mis RGB,Periferije,4.0,49.78,20,Beograd
ORD_10160,2025-10-10,iPhone 15 Pro,Elektronika,3.0,1108.27,850,Beograd
ORD_10161,2025-03-02,HP Pavilion Gaming,Elektronika,4.0,927.64 RSD,680,
ORD_10162,2025-12-28,Radni Sto Podesivi,Namestaj,5.0,244.18 RSD,120,Nis
ORD_10163,2025-10-10,Samsung S24 Ultra,Elektronika,4.0,1244.3 RSD,900,Kragujevac
ORD_10164,2026-03-19,Dell Monitor 27,Elektronika,2.0,260.42,180,Nis
ORD_10165,2025-05-17,Kancelarijska Stolica,Namestaj,5.0,152.56 RSD,70,Novi Sad
ORD_10166,2025-12-04,Slusalice ANC,Periferije,5.0,100.56 RSD,50,Kragujevac
ORD_10167,2025-06-20,Gaming Mis RGB,Periferije,3.0,44.37 RSD,20,Nis
ORD_10168,2025-12-24,Kancelarijska Stolica,Namestaj,2.0,128.72 RSD,70,Nis
ORD_10169,2026-01-17,Laptop ASUS ZenBook,Elektronika,3.0,1065.0 RSD,750,Nis
ORD_10170,2025-09-11,Mehanicka Tastatura,Periferije,2.0,78.84 RSD,35,Kragujevac
ORD_10171,2026-03-24,Kancelarijska Stolica,Namestaj,1.0,128.0 RSD,70,Nis
ORD_10172,2025-07-29,Laptop ASUS ZenBook,Elektronika,2.0,1047.66 RSD,750,Subotica
ORD_10173,2025-06-23,Gaming Mis RGB,Periferije,3.0,44.76 RSD,20,Subotica
ORD_10174,2025-07-14,Kancelarijska Stolica,Namestaj,5.0,146.86 RSD,70,Nis
ORD_10175,2025-11-13,Dell Monitor 27,Elektronika,1.0,265.46,180,Novi Sad
ORD_10176,2025-08-11,Samsung S24 Ultra,Elektronika,1.0,1284.64 RSD,900,
ORD_10177,2025-03-27,HP Pavilion Gaming,Elektronika,4.0,880.98 RSD,680,Subotica
ORD_10178,2025-05-31,Kancelarijska Stolica,Namestaj,1.0,155.6 RSD,70,Beograd
ORD_10179,2025-10-17,Dell Monitor 27,Elektronika,4.0,263.25 RSD,180,Beograd
ORD_10180,2026-03-22,HP Pavilion Gaming,Elektronika,5.0,872.3 RSD,680,Nis
ORD_10181,2025-04-29,Slusalice ANC,Periferije,2.0,96.0 RSD,50,Novi Sad
ORD_10182,2025-05-28,Laptop ASUS ZenBook,Elektronika,4.0,1138.43 RSD,750,Nis
ORD_10183,2025-06-03,Kancelarijska Stolica,Namestaj,5.0,153.82 RSD,70,Novi Sad
ORD_10184,2025-04-12,Gaming Mis RGB,Periferije,3.0,45.08 RSD,20,Subotica
ORD_10185,2025-10-20,Samsung S24 Ultra,Elektronika,4.0,1276.6 RSD,900,
ORD_10186,2026-03-01,Radni Sto Podesivi,Namestaj,1.0,253.36 RSD,120,Kragujevac
ORD_10187,2026-01-17,Laptop ASUS ZenBook,Elektronika,5.0,1057.14 RSD,750,Novi Sad
ORD_10188,2026-02-15,Samsung S24 Ultra,Elektronika,5.0,1242.71 RSD,900,Kragujevac
ORD_10189,2025-11-18,Radni Sto Podesivi,Namestaj,2.0,224.59,120,Subotica
ORD_10190,2025-01-18,Radni Sto Podesivi,Namestaj,4.0,217.16 RSD,120,Subotica
ORD_10191,2026-01-18,Radni Sto Podesivi,Namestaj,3.0,257.36 RSD,120,Kragujevac
ORD_10192,2025-09-14,Kancelarijska Stolica,Namestaj,5.0,154.51 RSD,70,Novi Sad
ORD_10193,2026-01-18,Gaming Mis RGB,Periferije,3.0,48.83 RSD,20,Nis
ORD_10194,2026-01-22,HP Pavilion Gaming,Elektronika,2.0,871.92 RSD,680,
ORD_10195,2025-07-07,Mehanicka Tastatura,Periferije,5.0,73.59,35,Novi Sad
ORD_10196,2025-08-21,Dell Monitor 27,Elektronika,1.0,298.56 RSD,180,Novi Sad
ORD_10197,2026-02-26,Slusalice ANC,Periferije,4.0,113.24 RSD,50,
ORD_10198,2025-01-13,Samsung S24 Ultra,Elektronika,4.0,1335.64 RSD,900,Novi Sad
ORD_10199,2025-11-28,Slusalice ANC,Periferije,2.0,110.66,50,
ORD_10200,2025-03-01,Radni Sto Podesivi,Namestaj,4.0,244.6 RSD,120,Novi Sad
ORD_10201,2025-02-19,Gaming Mis RGB,Periferije,1.0,43.34 RSD,20,Nis
ORD_10202,2025-12-10,Gaming Mis RGB,Periferije,3.0,44.12 RSD,20,Kragujevac
ORD_10203,2026-01-16,Mehanicka Tastatura,Periferije,5.0,82.38 RSD,35,
ORD_10204,2025-11-12,HP Pavilion Gaming,Elektronika,4.0,922.72 RSD,680,Subotica
ORD_10205,2025-08-16,Kancelarijska Stolica,Namestaj,2.0,127.78 RSD,70,Novi Sad
ORD_10206,2025-10-06,HP Pavilion Gaming,Elektronika,3.0,826.78 RSD,680,Subotica
ORD_10207,2025-04-08,Mehanicka Tastatura,Periferije,3.0,78.62 RSD,35,Nis
ORD_10208,2025-11-25,HP Pavilion Gaming,Elektronika,2.0,808.46 RSD,680,Subotica
ORD_10209,2025-03-06,Kancelarijska Stolica,Namestaj,2.0,132.32 RSD,70,Kragujevac
ORD_10210,2025-04-21,Samsung S24 Ultra,Elektronika,5.0,1247.67 RSD,900,Beograd
ORD_10211,2025-05-22,Slusalice ANC,Periferije,1.0,108.72 RSD,50,Beograd
ORD_10212,2026-02-13,Dell Monitor 27,Elektronika,3.0,294.12 RSD,180,Subotica
ORD_10213,2025-07-03,iPhone 15 Pro,Elektronika,1.0,1073.82 RSD,850,Novi Sad
ORD_10214,2025-05-16,Laptop ASUS ZenBook,Elektronika,2.0,1091.68,750,Kragujevac
ORD_10215,2025-09-01,HP Pavilion Gaming,Elektronika,1.0,852.58 RSD,680,Kragujevac
ORD_10216,2025-09-15,HP Pavilion Gaming,Elektronika,4.0,869.33 RSD,680,
ORD_10217,2025-08-23,Dell Monitor 27,Elektronika,,299.79 RSD,180,Nis
ORD_10218,2025-12-18,Mehanicka Tastatura,Periferije,4.0,78.39 RSD,35,Nis
ORD_10219,2025-06-14,HP Pavilion Gaming,Elektronika,1.0,968.85 RSD,680,Novi Sad
ORD_10220,2025-10-08,Slusalice ANC,Periferije,5.0,107.97 RSD,50,Kragujevac
ORD_10221,2025-08-21,Dell Monitor 27,Elektronika,3.0,289.1 RSD,180,
ORD_10222,2026-01-05,HP Pavilion Gaming,Elektronika,5.0,825.3 RSD,680,Beograd
ORD_10223,2026-02-28,Mehanicka Tastatura,Periferije,3.0,73.88 RSD,35,Subotica
ORD_10224,2025-06-10,Kancelarijska Stolica,Namestaj,4.0,135.46 RSD,70,Beograd
ORD_10225,2025-02-16,Gaming Mis RGB,Periferije,1.0,44.94 RSD,20,Subotica
ORD_10226,2025-10-12,Kancelarijska Stolica,Namestaj,2.0,156.69,70,Kragujevac
ORD_10227,2025-07-30,Kancelarijska Stolica,Namestaj,1.0,139.29 RSD,70,Nis
ORD_10228,2025-11-04,Laptop ASUS ZenBook,Elektronika,3.0,1131.25 RSD,750,Kragujevac
ORD_10229,2025-12-03,Samsung S24 Ultra,Elektronika,2.0,1269.1 RSD,900,Novi Sad
ORD_10230,2025-02-28,Dell Monitor 27,Elektronika,3.0,302.69 RSD,180,Nis
ORD_10231,2025-11-11,Dell Monitor 27,Elektronika,5.0,285.16 RSD,180,Kragujevac
ORD_10232,2025-04-03,Radni Sto Podesivi,Namestaj,1.0,241.35 RSD,120,Novi Sad
ORD_10233,2025-04-03,Kancelarijska Stolica,Namestaj,1.0,142.28 RSD,70,Nis
ORD_10234,2026-01-15,HP Pavilion Gaming,Elektronika,,844.6 RSD,680,
ORD_10235,2025-07-12,Dell Monitor 27,Elektronika,2.0,298.35 RSD,180,Novi Sad
ORD_10236,2026-02-02,Radni Sto Podesivi,Namestaj,3.0,226.54 RSD,120,Subotica
ORD_10237,2026-01-22,iPhone 15 Pro,Elektronika,2.0,1025.84 RSD,850,Novi Sad
ORD_10238,2025-09-06,Gaming Mis RGB,Periferije,4.0,48.95 RSD,20,Beograd
ORD_10239,2025-06-26,Dell Monitor 27,Elektronika,1.0,265.63 RSD,180,
ORD_10240,2025-09-27,Slusalice ANC,Periferije,,114.19 RSD,50,Nis
ORD_10241,2025-01-04,Slusalice ANC,Periferije,1.0,114.49 RSD,50,Beograd
ORD_10242,2025-06-17,Radni Sto Podesivi,Namestaj,3.0,258.24 RSD,120,Nis
ORD_10243,2025-07-14,iPhone 15 Pro,Elektronika,2.0,1108.84 RSD,850,Kragujevac
ORD_10244,2025-07-23,Kancelarijska Stolica,Namestaj,,127.96 RSD,70,Subotica
ORD_10245,2026-03-18,Gaming Mis RGB,Periferije,1.0,51.78 RSD,20,Nis
ORD_10246,2025-02-28,Mehanicka Tastatura,Periferije,3.0,74.85 RSD,35,Beograd
ORD_10247,2026-03-02,Slusalice ANC,Periferije,4.0,114.77 RSD,50,Nis
ORD_10248,2025-08-12,HP Pavilion Gaming,Elektronika,2.0,990.59 RSD,680,Nis
ORD_10249,2025-04-24,Radni Sto Podesivi,Namestaj,3.0,255.15 RSD,120,Kragujevac
ORD_10250,2025-09-19,HP Pavilion Gaming,Elektronika,5.0,863.45 RSD,680,Novi Sad
ORD_10251,2025-02-22,iPhone 15 Pro,Elektronika,2.0,1112.42 RSD,850,Kragujevac
ORD_10252,2025-04-01,iPhone 15 Pro,Elektronika,1.0,1224.27 RSD,850,Nis
ORD_10253,2025-08-18,Slusalice ANC,Periferije,5.0,100.47 RSD,50,
ORD_10254,2026-03-19,Slusalice ANC,Periferije,3.0,97.23 RSD,50,Nis
ORD_10255,2025-08-15,HP Pavilion Gaming,Elektronika,4.0,913.29 RSD,680,Kragujevac
ORD_10256,2025-09-17,Laptop ASUS ZenBook,Elektronika,3.0,1140.95,750,Subotica
ORD_10257,2026-03-02,Laptop ASUS ZenBook,Elektronika,3.0,1088.13 RSD,750,Subotica
ORD_10258,2025-09-17,Slusalice ANC,Periferije,5.0,106.04 RSD,50,
ORD_10259,2026-02-19,Laptop ASUS ZenBook,Elektronika,4.0,956.38 RSD,750,Kragujevac
ORD_10260,2025-03-19,Gaming Mis RGB,Periferije,5.0,48.65 RSD,20,Novi Sad
ORD_10261,2025-11-27,HP Pavilion Gaming,Elektronika,5.0,995.61 RSD,680,Nis
ORD_10262,2025-09-25,Gaming Mis RGB,Periferije,5.0,43.9 RSD,20,Novi Sad
ORD_10263,2026-02-01,Mehanicka Tastatura,Periferije,4.0,76.29 RSD,35,
ORD_10264,2025-06-18,Kancelarijska Stolica,Namestaj,1.0,153.82,70,Novi Sad
ORD_10265,2026-03-24,Radni Sto Podesivi,Namestaj,5.0,249.54 RSD,120,
ORD_10266,2025-06-08,iPhone 15 Pro,Elektronika,3.0,1187.28 RSD,850,Nis
ORD_10267,2025-12-29,iPhone 15 Pro,Elektronika,5.0,1188.6 RSD,850,Nis
ORD_10268,2025-12-10,Kancelarijska Stolica,Namestaj,2.0,138.28 RSD,70,
ORD_10269,2025-11-27,Dell Monitor 27,Elektronika,1.0,272.62 RSD,180,Subotica
ORD_10270,2025-04-03,Kancelarijska Stolica,Namestaj,3.0,151.78 RSD,70,Nis
ORD_10271,2025-03-12,Samsung S24 Ultra,Elektronika,2.0,1315.63 RSD,900,Subotica
ORD_10272,2026-03-04,Dell Monitor 27,Elektronika,5.0,307.02 RSD,180,
ORD_10273,2025-03-09,Kancelarijska Stolica,Namestaj,5.0,154.9 RSD,70,Beograd
ORD_10274,2026-01-05,Slusalice ANC,Periferije,2.0,104.75 RSD,50,
ORD_10275,2025-11-09,Samsung S24 Ultra,Elektronika,4.0,1235.39 RSD,900,Nis
ORD_10276,2025-05-03,Samsung S24 Ultra,Elektronika,5.0,1312.56 RSD,900,Nis
ORD_10277,2025-12-14,Samsung S24 Ultra,Elektronika,3.0,1273.99 RSD,900,Nis
ORD_10278,2025-09-15,Radni Sto Podesivi,Namestaj,4.0,247.6 RSD,120,Beograd
