Datum,Proizvod,Grad,Cena_EUR,Količina,Ukupna_Zarada
2025-12-11 00:00:00,Prečišćivač AirPro,Niš,396.79,2.0,793.58
2025-02-18 00:00:00,Pametna Brava Locky,Beograd,12.26,2.0,24.52
2025-02-28 00:00:00,Robot Usisivač X1,Kragujevac,370.78,9.0,3337.0199999999995
2025-06-19 00:00:00,Prečišćivač AirPro,Novi Sad,110.6,5.0,553.0
2025-07-07 00:00:00,Pametna Sijalica RGB,Novi Sad,409.83,2.0,819.66
2025-09-28 00:00:00,Prečišćivač AirPro,Subotica,10.49,9.0,94.41
2025-07-09 00:00:00,Prečišćivač AirPro,Niš,254.72,9.0,2292.48
2025-06-24 00:00:00,Prečišćivač AirPro,Novi Sad,342.92,1.0,342.92
2025-02-20 00:00:00,Prečišćivač AirPro,Beograd,123.82,3.0,371.46
2025-12-30 00:00:00,Pametna Brava Locky,Subotica,94.98,4.0,379.92
2025-02-24 00:00:00,Robot Usisivač X1,Kragujevac,,7.0,0.0
2025-09-01 00:00:00,Senzor Pokreta,Subotica,153.63,4.0,614.52
2025-11-16 00:00:00,Prečišćivač AirPro,Kragujevac,256.33,2.0,512.66
2025-05-11 00:00:00,Pametna Sijalica RGB,Subotica,60.97,7.0,426.78999999999996
2025-11-03 00:00:00,Prečišćivač AirPro,Subotica,,6.0,
2025-05-15 00:00:00,Pametna Sijalica RGB,Subotica,13.99,3.0,41.97
2025-01-21 00:00:00,Pametna Brava Locky,Kragujevac,370.22,,
2025-11-25 00:00:00,Pametna Sijalica RGB,Kragujevac,66.52,6.0,399.12
2025-06-16 00:00:00,Senzor Pokreta,Subotica,134.67,5.0,673.3499999999999
2025-10-01 00:00:00,Robot Usisivač X1,Novi Sad,18.11,4.0,72.44
2025-03-30 00:00:00,Pametna Sijalica RGB,Niš,200.19,1.0,200.19
2025-11-12 00:00:00,Pametna Sijalica RGB,Niš,379.65,,
2025-01-14 00:00:00,Robot Usisivač X1,Niš,182.55,2.0,365.1
2025-08-30 00:00:00,Senzor Pokreta,Kragujevac,88.98,3.0,266.94
2025-09-22 00:00:00,Prečišćivač AirPro,Kragujevac,341.63,8.0,2733.04
2025-12-12 00:00:00,Pametna Sijalica RGB,Novi Sad,357.08,6.0,2142.48
2025-02-22 00:00:00,Robot Usisivač X1,Niš,86.45,3.0,259.35
2025-12-06 00:00:00,Pametna Brava Locky,Niš,349.18,7.0,2444.26
2025-04-02 00:00:00,Robot Usisivač X1,Subotica,426.81,4.0,1707.24
2025-09-21 00:00:00,Pametna Brava Locky,Kragujevac,83.21,9.0,748.89
2025-02-04 00:00:00,Senzor Pokreta,Niš,,5.0,
2025-07-25 00:00:00,Prečišćivač AirPro,Novi Sad,321.77,3.0,965.31
2025-03-22 00:00:00,Robot Usisivač X1,Novi Sad,218.37,2.0,436.74
2025-02-19 00:00:00,Pametna Sijalica RGB,Niš,35.49,2.0,70.98
2025-12-26 00:00:00,Senzor Pokreta,Kragujevac,42.87,3.0,128.60999999999999
2025-01-02 00:00:00,Robot Usisivač X1,Novi Sad,385.06,2.0,770.12
2025-02-23 00:00:00,Pametna Sijalica RGB,Subotica,445.67,4.0,1782.68
2025-04-16 00:00:00,Robot Usisivač X1,Novi Sad,307.46,2.0,614.92
2025-09-17 00:00:00,Pametna Brava Locky,Beograd,206.22,9.0,1855.98
2025-11-06 00:00:00,Robot Usisivač X1,Beograd,,2.0,
2025-07-10 00:00:00,Robot Usisivač X1,Kragujevac,,9.0,
2025-08-06 00:00:00,Robot Usisivač X1,Niš,178.79,6.0,1072.74
2025-02-13 00:00:00,Senzor Pokreta,Kragujevac,38.88,1.0,38.88
2025-06-11 00:00:00,Robot Usisivač X1,Kragujevac,371.47,4.0,1485.88
2025-07-21 00:00:00,Pametna Sijalica RGB,Kragujevac,173.61,1.0,173.61
2025-09-27 00:00:00,Pametna Brava Locky,Kragujevac,370.27,6.0,2221.62
2025-12-17 00:00:00,Pametna Brava Locky,Subotica,121.1,4.0,484.4
2025-10-31 00:00:00,Robot Usisivač X1,Subotica,10.45,3.0,31.349999999999998
2025-09-28 00:00:00,Senzor Pokreta,Novi Sad,79.93,3.0,239.79000000000002
2025-08-03 00:00:00,Senzor Pokreta,Beograd,216.16,9.0,1945.44
2025-09-09 00:00:00,Pametna Sijalica RGB,Kragujevac,425.49,6.0,2552.94
2025-07-09 00:00:00,Robot Usisivač X1,Novi Sad,54.97,9.0,494.73
2025-10-23 00:00:00,Pametna Brava Locky,Beograd,385.85,5.0,1929.25
2025-08-01 00:00:00,Senzor Pokreta,Niš,241.89,2.0,483.78
2025-07-27 00:00:00,Robot Usisivač X1,Subotica,373.41,8.0,2987.28
2025-08-25 00:00:00,Senzor Pokreta,Beograd,141.28,5.0,706.4
2025-12-04 00:00:00,Senzor Pokreta,Niš,379.58,2.0,759.16
2025-02-22 00:00:00,Pametna Brava Locky,Beograd,350.04,4.0,1400.16
2025-10-07 00:00:00,Prečišćivač AirPro,Subotica,111.22,9.0,1000.98
2025-08-05 00:00:00,Pametna Sijalica RGB,Subotica,67.79,4.0,271.16
2025-09-09 00:00:00,Pametna Sijalica RGB,Novi Sad,391.94,,
2025-07-07 00:00:00,Pametna Brava Locky,Kragujevac,433.82,2.0,0.0
2025-02-10 00:00:00,Senzor Pokreta,Beograd,23.77,6.0,142.62
2025-06-06 00:00:00,Robot Usisivač X1,Beograd,331.76,2.0,663.52
2025-01-15 00:00:00,Senzor Pokreta,Niš,410.19,7.0,2871.33
2025-10-28 00:00:00,Pametna Brava Locky,Subotica,387.24,3.0,1161.72
2025-03-06 00:00:00,Pametna Sijalica RGB,Beograd,434.39,3.0,1303.17
2025-12-11 00:00:00,Senzor Pokreta,Subotica,344.44,5.0,1722.2
2025-11-23 00:00:00,Pametna Sijalica RGB,Beograd,204.61,,
2025-01-09 00:00:00,Robot Usisivač X1,Novi Sad,147.26,2.0,294.52
2025-12-10 00:00:00,Pametna Sijalica RGB,Kragujevac,151.13,9.0,1360.17
2025-05-09 00:00:00,Pametna Sijalica RGB,Beograd,328.75,2.0,657.5
2025-05-16 00:00:00,Prečišćivač AirPro,Subotica,338.17,2.0,676.34
2025-03-04 00:00:00,Prečišćivač AirPro,Novi Sad,98.16,8.0,785.28
2025-05-19 00:00:00,Prečišćivač AirPro,Beograd,391.97,9.0,3527.7300000000005
2025-03-22 00:00:00,Pametna Sijalica RGB,Niš,324.57,7.0,2271.99
2025-06-12 00:00:00,Pametna Brava Locky,Kragujevac,257.61,3.0,772.83
2025-10-16 00:00:00,Pametna Sijalica RGB,Beograd,217.47,9.0,0.0
2025-09-18 00:00:00,Pametna Brava Locky,Novi Sad,249.02,3.0,747.0600000000001
2025-08-19 00:00:00,Pametna Brava Locky,Niš,80.07,5.0,400.34999999999997
2025-02-10 00:00:00,Prečišćivač AirPro,Novi Sad,99.63,9.0,896.67
2025-01-28 00:00:00,Senzor Pokreta,Novi Sad,50.11,3.0,150.32999999999998
2025-05-15 00:00:00,Robot Usisivač X1,Niš,77.61,7.0,543.27
2025-07-20 00:00:00,Prečišćivač AirPro,Novi Sad,209.63,1.0,209.63
2025-11-24 00:00:00,Prečišćivač AirPro,Niš,243.36,4.0,973.44
2025-09-25 00:00:00,Senzor Pokreta,Beograd,17.86,4.0,71.44
2025-02-02 00:00:00,Robot Usisivač X1,Niš,360.59,7.0,0.0
2025-02-17 00:00:00,Pametna Sijalica RGB,Niš,139.43,8.0,1115.44
2025-03-03 00:00:00,Pametna Sijalica RGB,Kragujevac,411.21,1.0,411.21
2025-08-04 00:00:00,Prečišćivač AirPro,Niš,435.7,5.0,2178.5
2025-10-20 00:00:00,Robot Usisivač X1,Niš,91.6,7.0,641.1999999999999
2025-04-09 00:00:00,Prečišćivač AirPro,Beograd,213.32,4.0,853.28
2025-06-21 00:00:00,Pametna Brava Locky,Kragujevac,10.54,4.0,42.16
2025-12-26 00:00:00,Prečišćivač AirPro,Subotica,273.26,4.0,1093.04
2025-08-02 00:00:00,Prečišćivač AirPro,Beograd,277.21,6.0,1663.2599999999998
2025-02-04 00:00:00,Pametna Sijalica RGB,Beograd,118.92,7.0,832.44
2025-08-15 00:00:00,Pametna Sijalica RGB,Subotica,255.7,2.0,511.4
2025-04-11 00:00:00,Pametna Sijalica RGB,Niš,109.24,5.0,546.1999999999999
2025-05-11 00:00:00,Pametna Brava Locky,Novi Sad,80.76,4.0,323.04
2025-09-14 00:00:00,Pametna Sijalica RGB,Kragujevac,296.67,3.0,890.01
2025-01-05 00:00:00,Robot Usisivač X1,Novi Sad,153.41,7.0,1073.87
2025-08-06 00:00:00,Senzor Pokreta,Subotica,269.72,6.0,1618.3200000000002
2025-09-12 00:00:00,Robot Usisivač X1,Beograd,200.63,7.0,1404.4099999999999
2025-12-25 00:00:00,Robot Usisivač X1,Beograd,443.11,5.0,2215.55
2025-10-10 00:00:00,Pametna Sijalica RGB,Kragujevac,75.82,6.0,454.91999999999996
2025-07-26 00:00:00,Senzor Pokreta,Beograd,,5.0,
2025-01-15 00:00:00,Senzor Pokreta,Beograd,309.4,7.0,2165.7999999999997
2025-12-12 00:00:00,Senzor Pokreta,Kragujevac,184.04,2.0,368.08
2025-02-11 00:00:00,Pametna Brava Locky,Kragujevac,438.87,5.0,2194.35
2025-06-28 00:00:00,Pametna Sijalica RGB,Subotica,327.63,6.0,1965.78
2025-03-04 00:00:00,Senzor Pokreta,Beograd,299.07,6.0,1794.42
2025-12-18 00:00:00,Pametna Brava Locky,Beograd,343.11,5.0,1715.5500000000002
2025-08-19 00:00:00,Prečišćivač AirPro,Subotica,429.17,7.0,3004.19
2025-08-29 00:00:00,Prečišćivač AirPro,Niš,409.44,8.0,3275.52
2025-02-21 00:00:00,Pametna Brava Locky,Niš,328.69,7.0,2300.83
2025-04-06 00:00:00,Pametna Brava Locky,Niš,339.63,5.0,1698.15
2025-08-10 00:00:00,Pametna Sijalica RGB,Subotica,74.21,1.0,74.21
2025-08-19 00:00:00,Pametna Sijalica RGB,Beograd,55.23,5.0,276.15
2025-08-25 00:00:00,Prečišćivač AirPro,Subotica,261.2,2.0,522.4
2025-05-23 00:00:00,Senzor Pokreta,Subotica,18.08,5.0,90.39999999999999
2025-06-20 00:00:00,Prečišćivač AirPro,Niš,,5.0,
2025-01-29 00:00:00,Senzor Pokreta,Novi Sad,,2.0,0.0
2025-02-05 00:00:00,Senzor Pokreta,Beograd,162.25,5.0,811.25
2025-01-13 00:00:00,Pametna Sijalica RGB,Niš,351.35,4.0,1405.4
2025-06-09 00:00:00,Robot Usisivač X1,Novi Sad,424.14,1.0,424.14
2025-11-23 00:00:00,Robot Usisivač X1,Novi Sad,41.86,3.0,125.58
2025-07-06 00:00:00,Pametna Brava Locky,Kragujevac,245.07,1.0,245.07
2025-08-31 00:00:00,Pametna Sijalica RGB,Beograd,398.31,5.0,1991.55
2025-03-27 00:00:00,Senzor Pokreta,Novi Sad,46.3,,
2025-10-11 00:00:00,Robot Usisivač X1,Niš,372.79,7.0,2609.53
2025-03-07 00:00:00,Senzor Pokreta,Kragujevac,167.43,5.0,837.1500000000001
2025-06-19 00:00:00,Robot Usisivač X1,Beograd,151.72,4.0,606.88
2025-02-14 00:00:00,Robot Usisivač X1,Subotica,440.09,2.0,880.18
2025-03-03 00:00:00,Robot Usisivač X1,Niš,98.38,4.0,393.52
2025-05-14 00:00:00,Pametna Sijalica RGB,Novi Sad,315.01,2.0,630.02
2025-10-11 00:00:00,Prečišćivač AirPro,Novi Sad,371.43,8.0,2971.44
2025-01-28 00:00:00,Senzor Pokreta,Niš,28.12,3.0,84.36
2025-04-18 00:00:00,Pametna Sijalica RGB,Novi Sad,304.97,9.0,2744.7300000000005
2025-02-13 00:00:00,Pametna Sijalica RGB,Kragujevac,428.68,4.0,1714.72
2025-12-06 00:00:00,Pametna Sijalica RGB,Beograd,64.66,6.0,387.96
2025-10-13 00:00:00,Pametna Sijalica RGB,Kragujevac,404.34,5.0,2021.6999999999998
2025-11-27 00:00:00,Pametna Sijalica RGB,Novi Sad,271.7,1.0,271.7
2025-05-08 00:00:00,Pametna Brava Locky,Subotica,281.31,,
2025-12-14 00:00:00,Senzor Pokreta,Beograd,279.7,1.0,279.7
2025-08-19 00:00:00,Pametna Sijalica RGB,Beograd,,8.0,
2025-07-09 00:00:00,Senzor Pokreta,Niš,421.49,9.0,3793.41
2025-08-13 00:00:00,Pametna Brava Locky,Niš,426.83,9.0,3841.47
2025-10-10 00:00:00,Pametna Brava Locky,Subotica,285.13,1.0,285.13
2025-05-01 00:00:00,Senzor Pokreta,Beograd,354.71,2.0,709.42
2025-04-26 00:00:00,Robot Usisivač X1,Subotica,279.39,1.0,279.39
2025-08-21 00:00:00,Prečišćivač AirPro,Niš,223.14,2.0,446.28
2025-09-16 00:00:00,Robot Usisivač X1,Niš,300.76,8.0,2406.08
2025-12-25 00:00:00,Robot Usisivač X1,Beograd,253.32,5.0,1266.6
2025-07-17 00:00:00,Robot Usisivač X1,Kragujevac,272.89,7.0,1910.23
2025-05-17 00:00:00,Pametna Sijalica RGB,Novi Sad,354.89,2.0,709.78
2025-11-14 00:00:00,Pametna Brava Locky,Niš,221.6,8.0,1772.8
2025-06-14 00:00:00,Robot Usisivač X1,Niš,27.93,6.0,167.57999999999998
2025-08-13 00:00:00,Pametna Brava Locky,Kragujevac,82.16,8.0,657.28
2025-11-03 00:00:00,Senzor Pokreta,Kragujevac,202.99,1.0,202.99
2025-08-22 00:00:00,Prečišćivač AirPro,Subotica,328.92,1.0,328.92
2025-06-21 00:00:00,Senzor Pokreta,Subotica,271.04,7.0,1897.2800000000002
2025-06-01 00:00:00,Senzor Pokreta,Novi Sad,296.13,8.0,2369.04
2025-11-11 00:00:00,Pametna Sijalica RGB,Novi Sad,220.88,3.0,662.64
2025-06-09 00:00:00,Prečišćivač AirPro,Beograd,280.93,5.0,1404.65
2025-04-06 00:00:00,Senzor Pokreta,Subotica,154.77,1.0,154.77
2025-08-21 00:00:00,Senzor Pokreta,Niš,216.88,7.0,1518.1599999999999
2025-06-29 00:00:00,Prečišćivač AirPro,Subotica,337.48,5.0,1687.4
2025-04-23 00:00:00,Prečišćivač AirPro,Niš,393.61,,
2025-11-14 00:00:00,Senzor Pokreta,Kragujevac,200.81,8.0,0.0
2025-02-21 00:00:00,Prečišćivač AirPro,Subotica,29.21,9.0,262.89
2025-09-25 00:00:00,Senzor Pokreta,Kragujevac,81.14,7.0,567.98
2025-10-22 00:00:00,Senzor Pokreta,Novi Sad,19.18,1.0,19.18
2025-04-23 00:00:00,Pametna Sijalica RGB,Novi Sad,297.44,3.0,892.3199999999999
2025-04-11 00:00:00,Robot Usisivač X1,Beograd,156.22,8.0,1249.76
2025-04-23 00:00:00,Senzor Pokreta,Subotica,248.69,3.0,746.0699999999999
2025-03-22 00:00:00,Pametna Brava Locky,Kragujevac,227.04,8.0,1816.32
2025-07-06 00:00:00,Robot Usisivač X1,Niš,45.87,1.0,45.87
2025-04-23 00:00:00,Robot Usisivač X1,Novi Sad,187.43,5.0,937.1500000000001
2025-01-02 00:00:00,Robot Usisivač X1,Novi Sad,107.05,4.0,428.2
2025-05-10 00:00:00,Pametna Sijalica RGB,Niš,194.1,5.0,970.5
2025-08-08 00:00:00,Senzor Pokreta,Kragujevac,99.57,8.0,796.56
2025-02-23 00:00:00,Pametna Sijalica RGB,Kragujevac,379.8,4.0,1519.2
2025-12-09 00:00:00,Senzor Pokreta,Subotica,86.65,4.0,346.6
2025-08-12 00:00:00,Pametna Sijalica RGB,Subotica,432.74,3.0,1298.22
2025-08-13 00:00:00,Pametna Sijalica RGB,Beograd,193.0,7.0,1351.0
2025-05-06 00:00:00,Pametna Brava Locky,Novi Sad,382.35,3.0,1147.0500000000002
2025-05-10 00:00:00,Pametna Sijalica RGB,Subotica,286.66,,
2025-02-22 00:00:00,Prečišćivač AirPro,Kragujevac,333.55,5.0,1667.75
2025-06-21 00:00:00,Pametna Brava Locky,Niš,347.8,5.0,1739.0
2025-08-06 00:00:00,Pametna Sijalica RGB,Kragujevac,232.13,6.0,1392.78
2025-06-09 00:00:00,Robot Usisivač X1,Novi Sad,249.05,8.0,1992.4
2025-07-17 00:00:00,Prečišćivač AirPro,Kragujevac,236.16,6.0,1416.96
2025-09-04 00:00:00,Prečišćivač AirPro,Beograd,,1.0,
2025-11-20 00:00:00,Prečišćivač AirPro,Novi Sad,22.93,8.0,183.44
2025-07-22 00:00:00,Pametna Brava Locky,Niš,184.03,8.0,1472.24
2025-07-03 00:00:00,Pametna Sijalica RGB,Beograd,276.72,9.0,2490.4800000000005
2025-05-03 00:00:00,Pametna Sijalica RGB,Novi Sad,273.0,9.0,2457.0
2025-09-12 00:00:00,Robot Usisivač X1,Niš,358.9,2.0,717.8
2025-10-21 00:00:00,Robot Usisivač X1,Beograd,298.2,2.0,596.4
2025-10-07 00:00:00,Prečišćivač AirPro,Beograd,446.54,3.0,1339.6200000000001
2025-11-21 00:00:00,Robot Usisivač X1,Novi Sad,,1.0,
2025-04-08 00:00:00,Pametna Brava Locky,Subotica,168.03,4.0,672.12
2025-07-17 00:00:00,Pametna Sijalica RGB,Beograd,178.89,4.0,715.56
2025-08-28 00:00:00,Prečišćivač AirPro,Beograd,214.96,9.0,1934.64
2025-05-24 00:00:00,Robot Usisivač X1,Niš,377.84,9.0,3400.56
2025-04-07 00:00:00,Pametna Brava Locky,Kragujevac,113.75,9.0,1023.75
2025-07-20 00:00:00,Pametna Brava Locky,Novi Sad,,7.0,
2025-05-04 00:00:00,Robot Usisivač X1,Novi Sad,188.34,2.0,376.68
2025-07-06 00:00:00,Pametna Sijalica RGB,Subotica,274.82,5.0,1374.1
2025-11-22 00:00:00,Robot Usisivač X1,Subotica,288.32,4.0,1153.28
2025-12-15 00:00:00,Prečišćivač AirPro,Novi Sad,174.05,8.0,1392.4
2025-09-16 00:00:00,Robot Usisivač X1,Subotica,235.55,2.0,471.1
2025-05-28 00:00:00,Pametna Brava Locky,Niš,191.73,6.0,1150.3799999999999
2025-09-09 00:00:00,Robot Usisivač X1,Novi Sad,40.42,5.0,202.10000000000002
2025-12-12 00:00:00,Pametna Sijalica RGB,Subotica,202.35,,
2025-05-27 00:00:00,Senzor Pokreta,Novi Sad,52.85,1.0,52.85
2025-05-28 00:00:00,Robot Usisivač X1,Kragujevac,188.21,8.0,1505.68
2025-12-18 00:00:00,Pametna Sijalica RGB,Beograd,270.88,2.0,541.76
2025-07-18 00:00:00,Pametna Sijalica RGB,Novi Sad,264.94,7.0,0.0
2025-11-04 00:00:00,Pametna Brava Locky,Beograd,301.55,9.0,2713.9500000000003
2025-05-08 00:00:00,Pametna Sijalica RGB,Subotica,51.92,9.0,467.28000000000003
2025-02-08 00:00:00,Pametna Sijalica RGB,Beograd,296.93,8.0,2375.44
2025-12-04 00:00:00,Pametna Sijalica RGB,Novi Sad,147.35,,
2025-12-26 00:00:00,Pametna Sijalica RGB,Kragujevac,185.58,2.0,371.16
2025-05-09 00:00:00,Prečišćivač AirPro,Subotica,387.51,6.0,2325.06
2025-09-24 00:00:00,Prečišćivač AirPro,Novi Sad,13.97,4.0,55.88
2025-05-31 00:00:00,Pametna Brava Locky,Subotica,,4.0,
2025-10-25 00:00:00,Robot Usisivač X1,Niš,273.43,5.0,1367.15
2025-04-09 00:00:00,Pametna Sijalica RGB,Beograd,184.53,3.0,553.59
2025-09-20 00:00:00,Robot Usisivač X1,Niš,114.29,1.0,114.29
2025-09-09 00:00:00,Robot Usisivač X1,Novi Sad,113.26,,
2025-05-24 00:00:00,Pametna Brava Locky,Kragujevac,398.83,5.0,1994.1499999999999
2025-12-12 00:00:00,Pametna Sijalica RGB,Subotica,204.49,3.0,613.47
2025-04-22 00:00:00,Pametna Sijalica RGB,Beograd,,7.0,
2025-03-01 00:00:00,Senzor Pokreta,Subotica,207.46,7.0,1452.22
2025-01-02 00:00:00,Robot Usisivač X1,Novi Sad,304.53,1.0,304.53
2025-10-31 00:00:00,Robot Usisivač X1,Subotica,74.13,9.0,667.17
2025-09-11 00:00:00,Prečišćivač AirPro,Beograd,207.75,2.0,415.5
2025-05-20 00:00:00,Senzor Pokreta,Novi Sad,268.67,5.0,1343.3500000000001
2025-02-06 00:00:00,Prečišćivač AirPro,Subotica,427.38,5.0,2136.9
2025-06-09 00:00:00,Prečišćivač AirPro,Kragujevac,121.11,8.0,968.88
2025-01-09 00:00:00,Prečišćivač AirPro,Novi Sad,168.07,8.0,1344.56
2025-08-21 00:00:00,Pametna Brava Locky,Novi Sad,176.92,7.0,1238.4399999999998
2025-04-09 00:00:00,Pametna Brava Locky,Kragujevac,276.44,7.0,1935.08
2025-05-27 00:00:00,Prečišćivač AirPro,Niš,166.96,6.0,1001.76
2025-10-31 00:00:00,Senzor Pokreta,Beograd,244.75,6.0,1468.5
2025-07-27 00:00:00,Robot Usisivač X1,Niš,353.99,9.0,3185.91
2025-05-11 00:00:00,Senzor Pokreta,Subotica,,6.0,
2025-06-01 00:00:00,Pametna Sijalica RGB,Kragujevac,206.4,2.0,412.8
2025-02-23 00:00:00,Pametna Brava Locky,Niš,390.26,2.0,780.52
2025-04-30 00:00:00,Robot Usisivač X1,Novi Sad,255.58,5.0,1277.9
2025-06-10 00:00:00,Robot Usisivač X1,Subotica,247.56,,
2025-04-26 00:00:00,Pametna Sijalica RGB,Subotica,25.04,2.0,50.08
2025-03-16 00:00:00,Pametna Sijalica RGB,Niš,444.14,,
2025-04-23 00:00:00,Prečišćivač AirPro,Niš,64.11,7.0,448.77
2025-04-14 00:00:00,Pametna Brava Locky,Kragujevac,111.7,8.0,893.6
2025-12-06 00:00:00,Pametna Brava Locky,Beograd,32.75,,
2025-09-11 00:00:00,Senzor Pokreta,Niš,291.6,5.0,1458.0
2025-08-15 00:00:00,Prečišćivač AirPro,Niš,108.87,1.0,108.87
2025-04-22 00:00:00,Prečišćivač AirPro,Novi Sad,89.2,,
2025-04-09 00:00:00,Prečišćivač AirPro,Subotica,48.96,3.0,146.88
2025-06-02 00:00:00,Prečišćivač AirPro,Beograd,55.46,6.0,332.76
2025-12-15 00:00:00,Pametna Brava Locky,Novi Sad,267.26,3.0,801.78
2025-12-04 00:00:00,Pametna Brava Locky,Kragujevac,312.81,7.0,2189.67
2025-07-13 00:00:00,Prečišćivač AirPro,Kragujevac,184.85,7.0,1293.95
2025-11-06 00:00:00,Senzor Pokreta,Niš,221.15,9.0,1990.3500000000001
2025-06-12 00:00:00,Robot Usisivač X1,Niš,311.83,5.0,1559.1499999999999
2025-07-27 00:00:00,Robot Usisivač X1,Kragujevac,17.65,8.0,141.2
2025-06-18 00:00:00,Senzor Pokreta,Niš,152.18,8.0,1217.44
2025-06-10 00:00:00,Prečišćivač AirPro,Beograd,438.16,1.0,438.16
2025-03-09 00:00:00,Pametna Brava Locky,Niš,265.25,5.0,1326.25
2025-10-16 00:00:00,Robot Usisivač X1,Subotica,121.86,3.0,365.58
2025-10-04 00:00:00,Pametna Sijalica RGB,Niš,239.56,1.0,239.56
2025-10-31 00:00:00,Pametna Sijalica RGB,Novi Sad,160.77,4.0,643.08
2025-05-15 00:00:00,Senzor Pokreta,Beograd,244.19,8.0,1953.52
2025-07-14 00:00:00,Prečišćivač AirPro,Novi Sad,65.33,3.0,195.99
2025-05-08 00:00:00,Robot Usisivač X1,Novi Sad,68.39,2.0,136.78
2025-02-02 00:00:00,Prečišćivač AirPro,Subotica,73.16,9.0,658.4399999999999
2025-06-25 00:00:00,Robot Usisivač X1,Beograd,423.52,5.0,2117.6
2025-01-22 00:00:00,Senzor Pokreta,Beograd,332.48,7.0,2327.36
2025-08-26 00:00:00,Senzor Pokreta,Beograd,81.45,2.0,162.9
2025-06-07 00:00:00,Pametna Sijalica RGB,Beograd,92.87,9.0,835.83
2025-02-07 00:00:00,Prečišćivač AirPro,Beograd,331.56,9.0,2984.04
2025-08-18 00:00:00,Pametna Sijalica RGB,Subotica,78.71,4.0,314.84
2025-12-31 00:00:00,Prečišćivač AirPro,Niš,113.21,4.0,452.84
2025-02-20 00:00:00,Pametna Sijalica RGB,Novi Sad,433.87,6.0,2603.2200000000003
2025-09-21 00:00:00,Pametna Brava Locky,Beograd,122.33,6.0,733.98
2025-10-10 00:00:00,Pametna Brava Locky,Niš,301.12,1.0,301.12
2025-01-27 00:00:00,Pametna Brava Locky,Niš,440.6,9.0,3965.4
2025-08-14 00:00:00,Pametna Brava Locky,Novi Sad,174.69,2.0,349.38
2025-10-04 00:00:00,Robot Usisivač X1,Subotica,17.71,5.0,88.55000000000001
2025-10-13 00:00:00,Pametna Brava Locky,Kragujevac,117.42,9.0,1056.78
2025-04-07 00:00:00,Senzor Pokreta,Kragujevac,375.59,4.0,1502.36
2025-10-11 00:00:00,Senzor Pokreta,Niš,390.43,3.0,1171.29
2025-11-13 00:00:00,Robot Usisivač X1,Novi Sad,348.15,7.0,2437.0499999999997
2025-10-31 00:00:00,Pametna Brava Locky,Kragujevac,59.77,6.0,358.62
2025-05-27 00:00:00,Pametna Brava Locky,Niš,360.02,8.0,2880.16
2025-01-04 00:00:00,Pametna Brava Locky,Subotica,414.22,3.0,1242.66
2025-02-04 00:00:00,Pametna Sijalica RGB,Kragujevac,274.27,5.0,1371.35
2025-07-11 00:00:00,Prečišćivač AirPro,Niš,,4.0,
2025-02-18 00:00:00,Pametna Sijalica RGB,Niš,,4.0,
2025-01-17 00:00:00,Prečišćivač AirPro,Beograd,303.47,,
