Order_ID,Product_ID,Kolicina,Datum_Prodaje,Popust_%
ORD-1080,PROD-02,6,2026-10-05,0.1
ORD-1081,PROD-99,2,2026-06-10,0.1
ORD-1082,PROD-04,8,2025-12-07,0.8
ORD-1083,PROD-01,4,2025-12-17,0.2
ORD-1084,PROD-05,1,2026-06-25,0.8
ORD-1085,PROD-05,7,2025-02-24,0.5
ORD-1086,PROD-99,7,2026-09-23,0.5
ORD-1087,PROD-04,7,2026-10-31,0.8
ORD-1088,PROD-99,6,2025-04-27,0.8
ORD-1089,PROD-01,8,2026-12-23,0.8
ORD-1090,PROD-05,9,2026-01-10,0.8
ORD-1091,PROD-04,1,2025-03-01,0.2
ORD-1092,PROD-99,5,2026-10-02,0.1
ORD-1093,PROD-05,2,2025-06-10,0.5
ORD-1094,PROD-05,1,2026-04-04,0.2
ORD-1095,prod_01,6,2026-10-08,0.5
ORD-1096,PROD-01,5,2026-06-18,0.0
ORD-1097,PROD-02,9,2026-11-25,0.8
ORD-1098,PROD-05,5,2026-06-13,0.1
ORD-1099,PROD-05,8,2026-07-05,0.1
ORD-1100,PROD-02,5,2026-09-27,0.5
ORD-1101,PROD-03,5,2025-05-01,0.2
ORD-1102,PROD-99,1,2026-10-06,0.2
ORD-1103,PROD-04,1,2026-01-01,0.1
ORD-1104,PROD-03,6,2026-09-27,0.2
ORD-1105,PROD-05,7,2025-05-19,0.0
ORD-1106,prod_01,9,2026-11-12,0.1
ORD-1107,PROD-03,9,2025-12-20,0.5
ORD-1108,PROD-99,5,2025-10-18,0.0
ORD-1109,prod_01,9,2025-06-12,0.2
ORD-1110,PROD-02,9,2025-04-10,0.2
ORD-1111,PROD-01,1,2025-02-05,0.8
ORD-1112,PROD-04,7,2025-04-06,0.8
ORD-1113,PROD-03,6,2025-10-15,0.1
ORD-1114,PROD-03,2,2025-09-26,0.5
ORD-1115,PROD-05,2,2025-12-15,0.8
ORD-1116,PROD-01,6,2026-10-11,0.1
ORD-1117,PROD-05,7,2026-11-27,0.8
ORD-1118,PROD-05,2,2025-12-09,0.8
ORD-1119,PROD-04,8,2026-05-11,0.2
ORD-1120,PROD-05,6,2025-02-11,0.0
ORD-1121,PROD-03,6,2026-04-23,0.8
ORD-1122,PROD-99,5,2025-01-08,0.8
ORD-1123,PROD-02,8,2026-07-18,0.5
ORD-1124,PROD-05,4,2026-05-02,0.1
ORD-1125,PROD-03,1,2026-11-30,0.0
ORD-1126,PROD-01,7,2025-04-08,0.8
ORD-1127,PROD-05,7,2025-07-29,0.1
ORD-1128,PROD-99,8,2025-01-21,0.8
ORD-1129,PROD-02,9,2025-06-22,0.8
ORD-1130,PROD-01,4,2026-04-15,0.0
ORD-1131,PROD-02,9,2025-11-26,0.8
ORD-1132,PROD-99,6,2025-12-21,0.0
ORD-1133,PROD-03,6,2025-10-24,0.8
ORD-1134,PROD-04,7,2025-07-19,0.5
ORD-1135,PROD-05,4,2025-04-18,0.8
ORD-1136,PROD-02,5,2025-05-07,0.0
ORD-1137,PROD-04,7,2025-12-18,0.2
ORD-1138,PROD-05,8,2025-12-26,0.0
ORD-1139,PROD-01,9,2026-05-27,0.8
ORD-1140,PROD-99,2,2026-12-22,0.1
ORD-1141,PROD-02,7,2026-01-26,0.0
ORD-1142,PROD-02,5,2026-11-24,0.2
ORD-1143,PROD-05,2,2026-01-31,0.1
ORD-1144,PROD-99,4,2025-02-11,0.1
ORD-1145,PROD-02,7,2026-03-26,0.8
ORD-1146,PROD-99,1,2026-06-10,0.5
ORD-1147,PROD-05,3,2025-05-04,0.8
ORD-1148,PROD-01,5,2026-05-03,0.0
ORD-1149,PROD-99,4,2026-04-07,0.5
ORD-1150,PROD-03,3,2026-01-25,0.2
ORD-1151,PROD-01,8,2026-03-25,0.0
ORD-1152,PROD-99,9,2025-07-11,0.8
ORD-1153,PROD-01,5,2026-12-19,0.0
ORD-1154,PROD-01,6,2026-03-19,0.1
ORD-1155,PROD-04,5,2026-12-02,0.5
ORD-1156,PROD-01,3,2025-11-09,0.0
ORD-1157,PROD-99,8,2026-09-27,0.5
ORD-1158,PROD-02,4,2025-01-21,0.2
ORD-1159,PROD-99,5,2026-03-22,0.8
ORD-1160,PROD-05,7,2025-05-11,0.5
ORD-1161,PROD-02,2,2025-08-20,0.0
ORD-1162,PROD-99,8,2026-02-22,0.8
ORD-1163,PROD-05,7,2026-08-03,0.0
ORD-1164,PROD-02,5,2025-01-11,0.8
ORD-1165,PROD-03,7,2025-06-21,0.8
ORD-1166,PROD-05,8,2026-10-23,0.0
ORD-1167,PROD-04,6,2026-09-22,0.0
ORD-1168,PROD-01,5,2026-10-29,0.2
ORD-1169,PROD-03,3,2026-02-22,0.8
ORD-1170,PROD-04,5,2025-02-17,0.5
ORD-1171,PROD-03,1,2026-03-11,0.5
ORD-1172,PROD-05,5,2026-06-15,0.0
ORD-1173,PROD-05,4,2025-09-02,0.8
ORD-1174,PROD-02,5,2025-05-30,0.2
ORD-1175,PROD-03,8,2025-10-21,0.5
ORD-1176,PROD-03,7,2026-05-30,0.5
ORD-1177,PROD-05,6,2025-01-24,0.0
ORD-1178,PROD-03,1,2026-12-11,0.2
ORD-1179,PROD-03,7,2026-12-22,0.8
ORD-1180,PROD-01,5,2026-12-24,0.0
ORD-1181,PROD-02,3,2026-10-05,0.5
ORD-1182,PROD-05,6,2026-03-26,0.1
ORD-1183,PROD-05,8,2025-03-28,0.0
ORD-1184,PROD-01,6,2026-10-16,0.0
ORD-1185,PROD-02,8,2025-09-28,0.2
ORD-1186,PROD-99,9,2026-06-29,0.1
ORD-1187,PROD-01,6,2025-04-05,0.1
ORD-1188,PROD-05,6,2026-10-07,0.8
ORD-1189,PROD-99,8,2026-01-16,0.5
ORD-1190,PROD-04,8,2026-11-12,0.8
ORD-1191,PROD-05,6,2026-06-01,0.8
ORD-1192,PROD-05,7,2025-02-15,0.8
ORD-1193,PROD-01,3,2026-09-17,0.1
ORD-1194,PROD-05,8,2025-08-30,0.8
ORD-1195,PROD-99,2,2026-12-25,0.1
ORD-1196,PROD-99,8,2025-04-10,0.5
ORD-1197,PROD-01,1,2026-07-18,0.1
ORD-1198,PROD-03,1,2026-10-30,0.2
ORD-1199,PROD-99,3,2025-06-10,0.2
ORD-1200,PROD-02,4,2025-01-11,0.0
ORD-1201,PROD-02,3,2025-05-28,0.5
ORD-1202,PROD-02,6,2026-12-06,0.0
ORD-1203,PROD-04,6,2025-07-09,0.5
ORD-1204,PROD-03,3,2025-05-12,0.2
ORD-1205,PROD-04,1,2025-06-17,0.5
ORD-1206,PROD-03,2,2026-05-16,0.1
ORD-1207,PROD-03,7,2025-05-28,0.8
ORD-1208,PROD-99,5,2026-02-07,0.2
ORD-1209,PROD-04,6,2026-11-08,0.5
ORD-1210,PROD-04,5,2025-01-05,0.2
ORD-1211,PROD-02,1,2026-04-10,0.0
ORD-1212,PROD-05,7,2025-04-19,0.8
ORD-1213,PROD-03,9,2026-01-25,0.2
ORD-1214,PROD-04,8,2025-08-23,0.0
ORD-1215,PROD-01,5,2026-09-22,0.2
ORD-1216,PROD-03,3,2026-04-26,0.1
ORD-1217,PROD-05,1,2025-08-17,0.1
ORD-1218,PROD-99,2,2025-01-04,0.2
ORD-1219,PROD-03,2,2026-03-12,0.1
ORD-1220,PROD-01,5,2026-04-06,0.2
ORD-1221,PROD-02,8,2025-02-10,0.2
ORD-1222,PROD-01,9,2026-06-15,0.8
ORD-1223,PROD-03,2,2026-12-03,0.1
ORD-1224,PROD-02,8,2026-04-25,0.1
ORD-1225,PROD-02,4,2026-10-29,0.5
ORD-1226,PROD-99,9,2025-11-25,0.5
ORD-1227,PROD-04,7,2026-04-08,0.5
ORD-1228,PROD-99,1,2026-09-10,0.0
ORD-1229,PROD-04,2,2025-07-19,0.0
ORD-1230,PROD-99,1,2026-06-20,0.8
ORD-1231,PROD-05,7,2025-05-19,0.0
ORD-1232,PROD-03,4,2025-06-30,0.8
ORD-1233,PROD-01,9,2026-10-10,0.0
ORD-1234,PROD-05,8,2025-04-09,0.5
ORD-1235,PROD-99,7,2025-10-28,0.1
ORD-1236,PROD-03,6,2025-11-14,0.1
ORD-1237,PROD-01,6,2026-01-21,0.5
ORD-1238,PROD-01,4,2025-03-22,0.1
ORD-1239,PROD-05,3,2026-02-13,0.5
ORD-1240,PROD-04,8,2026-03-28,0.8
ORD-1241,PROD-04,1,2025-06-14,0.2
ORD-1242,PROD-99,1,2025-09-18,0.5
ORD-1243,PROD-01,4,2026-06-17,0.0
ORD-1244,PROD-99,2,2026-03-25,0.2
ORD-1245,PROD-05,4,2025-12-06,0.5
ORD-1246,PROD-02,8,2026-05-23,0.2
ORD-1247,PROD-05,2,2026-04-06,0.1
ORD-1248,PROD-02,4,2026-12-13,0.0
ORD-1249,PROD-05,2,2025-10-02,0.8
ORD-1250,PROD-01,6,2025-07-17,0.8
ORD-1251,PROD-03,9,2026-03-15,0.5
ORD-1252,prod_01,9,2026-06-03,0.2
ORD-1253,PROD-02,4,2025-12-10,0.5
ORD-1254,PROD-99,9,2026-12-05,0.1
ORD-1255,PROD-03,8,2026-12-23,0.2
ORD-1256,PROD-05,3,2026-07-26,0.5
ORD-1257,PROD-05,6,2026-03-09,0.1
ORD-1258,PROD-03,9,2026-09-12,0.1
ORD-1259,PROD-04,9,2025-04-01,0.8
ORD-1260,PROD-99,6,2025-02-14,0.1
ORD-1261,PROD-03,7,2025-07-05,0.2
ORD-1262,PROD-01,2,2025-01-22,0.1
ORD-1263,PROD-03,5,2025-09-10,0.1
ORD-1264,PROD-99,5,2026-05-01,0.1
ORD-1265,PROD-04,4,2026-09-17,0.0
ORD-1266,PROD-03,8,2025-01-06,0.5
ORD-1267,PROD-02,4,2025-12-31,0.1
ORD-1268,PROD-02,7,2026-06-28,0.0
ORD-1269,PROD-03,8,2025-10-14,0.1
ORD-1270,PROD-02,1,2025-05-19,0.8
ORD-1271,PROD-01,9,2026-11-21,0.5
ORD-1272,PROD-05,1,2025-06-18,0.0
ORD-1273,PROD-03,7,2026-03-02,0.0
ORD-1274,PROD-04,2,2025-01-11,0.8
ORD-1275,PROD-99,5,2026-05-10,0.1
ORD-1276,PROD-99,1,2025-12-13,0.1
ORD-1277,PROD-04,6,2026-05-18,0.5
ORD-1278,PROD-99,9,2026-02-21,0.2
ORD-1279,PROD-02,3,2025-07-30,0.2
ORD-1280,PROD-02,6,2026-03-01,0.2
ORD-1281,PROD-01,3,2025-07-13,0.1
ORD-1282,PROD-01,1,2025-10-15,0.8
ORD-1283,PROD-02,1,2026-11-22,0.8
ORD-1284,PROD-02,7,2025-04-20,0.8
ORD-1285,prod_01,5,2026-08-29,0.5
ORD-1286,PROD-01,4,2025-11-12,0.0
ORD-1287,PROD-05,2,2025-07-29,0.0
ORD-1288,PROD-05,3,2025-09-14,0.2
ORD-1289,prod_01,8,2025-07-16,0.8
ORD-1290,PROD-01,6,2025-01-18,0.8
ORD-1291,PROD-05,4,2026-09-07,0.8
ORD-1292,PROD-04,4,2025-03-09,0.1
ORD-1293,PROD-01,4,2025-04-05,0.5
ORD-1294,PROD-02,9,2026-01-27,0.1
ORD-1295,PROD-99,2,2025-05-09,0.2
ORD-1296,PROD-02,3,2026-12-12,0.0
ORD-1297,PROD-02,9,2025-05-30,0.5
ORD-1298,PROD-05,4,2026-07-05,0.8
ORD-1299,PROD-99,5,2025-11-04,0.2
ORD-1300,PROD-02,5,2025-05-22,0.0
ORD-1301,prod_01,3,2025-06-14,0.1
ORD-1302,PROD-99,4,2025-04-04,0.0
ORD-1303,PROD-02,7,2025-03-15,0.5
ORD-1304,PROD-05,8,2026-08-28,0.2
ORD-1305,prod_01,6,2026-10-13,0.0
ORD-1306,PROD-02,8,2026-06-05,0.5
ORD-1307,PROD-04,5,2026-11-24,0.0
ORD-1308,PROD-05,5,2025-10-28,0.0
ORD-1309,PROD-01,3,2025-06-26,0.0
ORD-1310,PROD-01,3,2026-09-12,0.8
ORD-1311,PROD-99,7,2026-10-30,0.0
ORD-1312,PROD-04,2,2026-12-17,0.1
ORD-1313,PROD-01,4,2026-01-09,0.1
ORD-1314,PROD-04,8,2025-02-07,0.5
ORD-1315,PROD-02,3,2025-02-19,0.0
ORD-1316,PROD-99,8,2026-01-04,0.1
ORD-1317,PROD-04,3,2025-01-23,0.0
ORD-1318,PROD-01,7,2025-03-08,0.5
ORD-1319,PROD-05,2,2025-12-17,0.5
ORD-1320,PROD-04,9,2026-09-22,0.1
ORD-1321,PROD-04,6,2026-05-11,0.0
ORD-1322,PROD-02,9,2025-08-11,0.1
ORD-1323,PROD-02,5,2025-11-01,0.1
ORD-1324,PROD-05,4,2025-10-11,0.1
ORD-1325,prod_01,2,2025-01-16,0.8
ORD-1326,PROD-03,5,2026-01-05,0.1
ORD-1327,PROD-03,1,2026-12-20,0.0
ORD-1328,PROD-04,2,2025-08-28,0.0
ORD-1329,PROD-04,4,2026-02-09,0.0
ORD-1330,PROD-01,6,2025-10-17,0.0
ORD-1331,PROD-03,7,2025-12-07,0.8
ORD-1332,PROD-01,4,2025-06-25,0.8
ORD-1333,PROD-05,7,2026-08-07,0.0
ORD-1334,PROD-05,1,2026-06-26,0.1
ORD-1335,PROD-99,5,2026-10-31,0.5
ORD-1336,PROD-05,1,2026-03-17,0.0
ORD-1337,PROD-02,4,2025-10-11,0.8
ORD-1338,PROD-01,7,2026-07-25,0.8
ORD-1339,PROD-05,8,2026-07-13,0.2
ORD-1340,PROD-02,6,2025-10-17,0.1
ORD-1341,PROD-01,4,2026-12-23,0.8
ORD-1342,PROD-04,7,2025-10-09,0.2
ORD-1343,PROD-05,8,2025-09-01,0.1
ORD-1344,PROD-01,8,2025-12-26,0.5
ORD-1345,PROD-02,3,2026-11-09,0.5
ORD-1346,PROD-04,2,2025-04-01,0.0
ORD-1347,PROD-99,9,2025-02-02,0.8
ORD-1348,PROD-05,1,2025-06-21,0.2
ORD-1349,PROD-05,9,2025-09-01,0.0
ORD-1350,PROD-03,7,2025-05-25,0.2
ORD-1351,PROD-03,7,2025-07-25,0.8
ORD-1352,PROD-99,7,2026-06-18,0.0
ORD-1353,PROD-05,3,2026-07-24,0.1
ORD-1354,prod_01,8,2025-06-30,0.1
ORD-1355,PROD-02,7,2025-10-26,0.8
ORD-1356,PROD-03,8,2026-06-25,0.2
ORD-1357,PROD-05,6,2026-07-22,0.8
ORD-1358,PROD-01,4,2025-10-11,0.1
ORD-1359,PROD-03,5,2025-05-03,0.1
ORD-1360,PROD-04,8,2025-09-09,0.8
ORD-1361,PROD-04,8,2025-12-25,0.1
ORD-1362,PROD-05,3,2025-02-27,0.1
ORD-1363,PROD-03,5,2026-08-02,0.8
ORD-1364,PROD-01,1,2025-03-17,0.8
ORD-1365,PROD-99,7,2025-10-05,0.1
ORD-1366,PROD-03,1,2025-03-04,0.8
ORD-1367,PROD-05,5,2025-10-18,0.5
ORD-1368,PROD-03,2,2026-02-25,0.1
ORD-1369,PROD-01,1,2025-01-08,0.5
ORD-1370,PROD-03,6,2025-08-02,0.5
ORD-1371,PROD-01,3,2026-06-30,0.1
ORD-1372,PROD-02,7,2025-03-28,0.2
ORD-1373,PROD-03,1,2026-01-18,0.5
ORD-1374,PROD-05,2,2026-06-07,0.5
ORD-1375,PROD-05,9,2026-10-02,0.0
ORD-1376,PROD-02,6,2026-11-28,0.0
ORD-1377,PROD-99,1,2026-11-01,0.5
ORD-1378,PROD-04,3,2025-11-13,0.1
ORD-1379,PROD-03,6,2026-07-17,0.1
ORD-1380,PROD-04,3,2025-11-04,0.2
ORD-1381,PROD-02,1,2026-06-22,0.0
ORD-1382,PROD-02,2,2025-07-22,0.1
ORD-1383,PROD-05,1,2025-12-22,0.8
ORD-1384,PROD-02,1,2025-06-24,0.2
ORD-1385,PROD-01,7,2026-07-02,0.8
ORD-1386,PROD-04,6,2025-05-22,0.2
ORD-1387,PROD-03,5,2025-06-21,0.8
ORD-1388,PROD-02,4,2026-03-12,0.2
ORD-1389,PROD-99,5,2025-02-13,0.8
ORD-1390,PROD-99,6,2026-09-09,0.2
ORD-1391,PROD-99,9,2025-03-29,0.0
ORD-1392,PROD-01,2,2026-10-05,0.2
ORD-1393,PROD-01,7,2025-01-02,0.8
ORD-1394,PROD-99,2,2025-01-13,0.8
ORD-1395,PROD-02,5,2025-05-29,0.2
ORD-1396,PROD-05,5,2025-09-30,0.8
ORD-1397,PROD-02,5,2026-04-28,0.1
ORD-1398,PROD-05,4,2026-03-03,0.1
ORD-1399,PROD-03,3,2025-03-24,0.2
ORD-1400,PROD-01,6,2025-01-06,0.8
ORD-1401,PROD-03,7,2026-07-28,0.2
ORD-1402,PROD-01,6,2025-10-07,0.2
ORD-1403,PROD-04,5,2025-02-20,0.2
ORD-1404,PROD-99,7,2026-11-28,0.2
ORD-1405,PROD-03,7,2025-05-27,0.0
ORD-1406,prod_01,2,2026-12-13,0.1
ORD-1407,PROD-99,2,2025-03-20,0.8
ORD-1408,PROD-04,1,2026-03-30,0.2
ORD-1409,PROD-03,6,2025-05-12,0.5
ORD-1410,PROD-99,1,2025-12-25,0.0
ORD-1411,PROD-03,3,2025-01-06,0.0
ORD-1412,PROD-02,2,2025-06-10,0.1
ORD-1413,PROD-05,8,2025-12-10,0.8
ORD-1414,PROD-01,5,2025-09-07,0.5
ORD-1415,PROD-02,7,2026-05-13,0.1
ORD-1416,PROD-03,5,2026-03-05,0.5
ORD-1417,PROD-02,7,2026-09-13,0.8
ORD-1418,PROD-03,9,2026-09-07,0.5
ORD-1419,PROD-99,3,2025-05-15,0.5
ORD-1420,PROD-05,9,2026-08-10,0.1
ORD-1421,PROD-03,7,2025-01-16,0.0
ORD-1422,PROD-05,8,2025-05-07,0.5
ORD-1423,PROD-02,5,2026-12-15,0.0
ORD-1424,PROD-02,9,2026-09-03,0.5
ORD-1425,PROD-99,1,2026-08-30,0.2
ORD-1426,PROD-01,2,2025-08-04,0.0
ORD-1427,PROD-03,3,2025-04-22,0.0
ORD-1428,PROD-01,6,2025-06-11,0.2
ORD-1429,PROD-04,8,2025-01-23,0.1
ORD-1430,PROD-04,5,2025-01-30,0.1
ORD-1431,PROD-03,5,2026-01-12,0.8
ORD-1432,PROD-05,3,2025-02-22,0.2
ORD-1433,PROD-02,6,2026-10-11,0.1
ORD-1434,PROD-02,7,2025-10-31,0.5
ORD-1435,PROD-99,3,2025-01-15,0.5
ORD-1436,PROD-02,6,2026-02-25,0.0
ORD-1437,PROD-03,4,2025-05-22,0.5
ORD-1438,PROD-99,7,2026-08-02,0.1
ORD-1439,PROD-04,7,2025-05-10,0.8
ORD-1440,PROD-99,1,2026-01-23,0.1
ORD-1441,PROD-05,6,2026-09-12,0.1
ORD-1442,PROD-04,3,2026-12-24,0.0
ORD-1443,PROD-02,7,2025-11-15,0.8
ORD-1444,PROD-01,9,2025-11-01,0.0
ORD-1445,PROD-01,3,2026-05-09,0.0
ORD-1446,PROD-01,1,2025-12-15,0.2
ORD-1447,PROD-03,2,2026-03-02,0.0
ORD-1448,PROD-03,8,2025-03-31,0.5
ORD-1449,PROD-99,8,2026-09-18,0.2
ORD-1450,PROD-02,2,2026-12-27,0.1
ORD-1451,PROD-02,7,2025-11-24,0.0
ORD-1452,PROD-01,6,2025-10-27,0.1
ORD-1453,PROD-99,1,2026-01-01,0.2
ORD-1454,PROD-03,6,2026-02-28,0.2
ORD-1455,PROD-03,9,2026-07-03,0.8
ORD-1456,PROD-04,6,2025-03-31,0.1
ORD-1457,PROD-05,8,2026-06-29,0.8
ORD-1458,PROD-99,1,2026-02-18,0.5
ORD-1459,PROD-03,4,2025-02-24,0.0
ORD-1460,PROD-99,4,2026-07-21,0.1
ORD-1461,PROD-02,3,2025-11-10,0.0
ORD-1462,PROD-99,3,2025-12-24,0.2
ORD-1463,PROD-01,5,2026-10-12,0.1
ORD-1464,PROD-01,5,2026-06-08,0.5
ORD-1465,PROD-01,2,2025-02-22,0.2
ORD-1466,PROD-01,4,2026-05-01,0.1
ORD-1467,PROD-05,5,2026-11-21,0.8
ORD-1468,PROD-05,5,2026-09-15,0.5
ORD-1469,PROD-05,8,2026-06-24,0.2
ORD-1470,PROD-99,6,2025-09-17,0.1
ORD-1471,PROD-03,6,2026-02-09,0.1
ORD-1472,PROD-05,4,2025-09-21,0.8
ORD-1473,PROD-05,7,2026-11-30,0.0
ORD-1474,PROD-99,9,2026-05-15,0.1
ORD-1475,PROD-02,2,2026-03-12,0.1
ORD-1476,PROD-99,8,2025-06-25,0.1
ORD-1477,PROD-05,5,2025-09-28,0.5
ORD-1478,PROD-03,8,2025-12-04,0.0
ORD-1479,prod_01,2,2026-02-28,0.2
ORD-1480,PROD-99,2,2025-12-19,0.0
ORD-1481,PROD-05,3,2026-02-20,0.0
ORD-1482,PROD-02,4,2025-06-14,0.8
ORD-1483,PROD-99,6,2025-08-09,0.8
ORD-1484,PROD-05,6,2025-09-21,0.5
ORD-1485,PROD-01,4,2025-07-03,0.8
ORD-1486,PROD-99,1,2025-08-19,0.8
ORD-1487,PROD-05,3,2025-07-29,0.0
ORD-1488,PROD-04,3,2025-05-29,0.5
ORD-1489,PROD-03,9,2026-08-24,0.2
ORD-1490,PROD-99,3,2025-11-30,0.5
ORD-1491,PROD-03,1,2026-03-14,0.1
ORD-1492,PROD-03,4,2026-05-28,0.1
ORD-1493,PROD-99,8,2026-08-27,0.5
ORD-1494,PROD-03,3,2025-12-21,0.1
ORD-1495,PROD-99,9,2025-11-14,0.2
ORD-1496,PROD-03,5,2026-06-21,0.2
ORD-1497,PROD-05,9,2025-08-09,0.0
ORD-1498,PROD-03,4,2026-12-19,0.5
ORD-1499,PROD-04,2,2026-12-29,0.5
ORD-1500,PROD-04,3,2025-01-13,0.5
ORD-1501,PROD-99,6,2025-05-31,0.5
ORD-1502,PROD-02,6,2026-01-12,0.2
ORD-1503,PROD-03,2,2026-01-21,0.1
ORD-1504,PROD-01,8,2026-04-06,0.0
ORD-1505,PROD-01,6,2026-07-20,0.1
ORD-1506,PROD-03,3,2026-07-13,0.2
ORD-1507,PROD-99,7,2025-07-21,0.0
ORD-1508,PROD-01,9,2026-12-27,0.0
ORD-1509,PROD-03,3,2025-07-23,0.0
ORD-1510,PROD-02,5,2025-10-28,0.0
ORD-1511,PROD-05,8,2025-08-23,0.0
ORD-1512,PROD-99,5,2026-01-24,0.2
ORD-1513,PROD-03,7,2026-01-12,0.0
ORD-1514,PROD-05,9,2025-08-21,0.5
ORD-1515,PROD-99,2,2026-12-19,0.8
ORD-1516,PROD-99,3,2025-12-06,0.8
ORD-1517,PROD-03,8,2025-06-13,0.8
ORD-1518,PROD-03,2,2025-11-22,0.8
ORD-1519,PROD-03,2,2025-03-29,0.2
ORD-1520,PROD-99,3,2025-01-16,0.8
ORD-1521,PROD-99,1,2025-03-05,0.2
ORD-1522,PROD-99,7,2026-02-28,0.1
ORD-1523,PROD-04,1,2025-02-07,0.1
ORD-1524,PROD-02,9,2026-09-03,0.8
ORD-1525,PROD-02,8,2025-03-24,0.2
ORD-1526,PROD-05,1,2025-11-16,0.5
ORD-1527,PROD-04,8,2026-01-29,0.1
ORD-1528,PROD-02,2,2025-04-21,0.2
ORD-1529,PROD-05,5,2026-10-12,0.0
ORD-1530,PROD-05,8,2026-04-10,0.8
ORD-1531,PROD-01,5,2025-09-25,0.2
ORD-1532,PROD-99,8,2025-07-21,0.2
ORD-1533,PROD-99,3,2026-05-26,0.5
ORD-1534,PROD-99,7,2026-08-13,0.8
ORD-1535,PROD-99,9,2025-10-09,0.0
