,Datum,Grad,Proizvod,Cena_RSD,Količina,Zarada
131,2025-06-02,Niš,Tastatura,93879,1,93879
132,2025-11-09,Niš,Tastatura,28251,5,141255
133,2025-04-22,Kragujevac,Miš,46508,3,139524
134,2025-09-23,Beograd,Miš,53652,4,214608
135,2025-01-15,Niš,Tastatura,35381,9,318429
136,2025-10-25,Beograd,Slušalice,8645,3,25935
137,2025-04-11,Niš,Slušalice,68697,9,618273
138,2025-05-08,Beograd,Laptop,61611,7,431277
139,2025-05-23,Niš,Miš,140329,8,1122632
140,2025-08-02,Niš,Miš,130196,4,520784
141,2025-07-21,Beograd,Slušalice,23157,1,23157
142,2025-08-09,Kragujevac,Miš,139927,5,699635
143,2025-06-12,Niš,Slušalice,26473,2,52946
144,2025-05-25,Novi Sad,Laptop,81211,7,568477
145,2025-02-24,Beograd,Tastatura,68509,7,479563
146,2025-11-22,Novi Sad,Slušalice,129672,6,778032
147,2025-07-17,Novi Sad,Laptop,8473,9,76257
148,2025-07-24,Niš,Miš,117021,7,819147
149,2025-04-10,Niš,Slušalice,70408,2,140816
150,2025-01-17,Beograd,Slušalice,98962,4,395848
151,2025-06-10,Novi Sad,Laptop,138607,5,693035
152,2025-08-15,Novi Sad,Slušalice,90973,2,181946
153,2025-05-24,Novi Sad,Slušalice,102622,7,718354
154,2025-01-09,Beograd,Laptop,95459,9,859131
155,2025-05-06,Novi Sad,Monitor,2733,6,16398
156,2025-12-27,Novi Sad,Tastatura,77001,1,77001
157,2025-11-11,Beograd,Miš,61999,4,247996
158,2025-08-05,Kragujevac,Tastatura,86119,7,602833
159,2025-11-02,Kragujevac,Monitor,146489,4,585956
160,2025-04-10,Kragujevac,Laptop,14756,6,88536
161,2025-11-12,Niš,Laptop,77800,4,311200
162,2025-04-03,Beograd,Miš,48412,9,435708
163,2025-02-01,Beograd,Tastatura,53097,6,318582
164,2025-03-12,Kragujevac,Miš,128272,1,128272
165,2025-12-21,Beograd,Slušalice,52122,7,364854
166,2025-11-16,Niš,Miš,14767,3,44301
167,2025-02-04,Kragujevac,Laptop,143787,2,287574
168,2025-06-08,Beograd,Monitor,140832,1,140832
169,2025-12-11,Niš,Monitor,14314,9,128826
170,2025-12-06,Kragujevac,Laptop,13344,3,40032
171,2025-10-19,Novi Sad,Slušalice,138321,5,691605
172,2025-09-03,Kragujevac,Laptop,138581,9,1247229
173,2025-02-02,Beograd,Monitor,24101,3,72303
174,2025-04-05,Novi Sad,Slušalice,149874,7,1049118
175,2025-03-12,Beograd,Monitor,147988,1,147988
176,2025-06-13,Niš,Slušalice,36091,8,288728
177,2025-08-04,Kragujevac,Slušalice,6193,8,49544
178,2025-05-09,Novi Sad,Miš,63981,4,255924
179,2025-03-15,Novi Sad,Tastatura,106347,4,425388
180,2025-02-06,Kragujevac,Slušalice,109212,8,873696
181,2025-11-01,Niš,Laptop,56178,6,337068
182,2025-03-09,Beograd,Slušalice,59456,9,535104
183,2025-04-09,Novi Sad,Laptop,133517,9,1201653
184,2025-03-14,Niš,Monitor,52379,8,419032
185,2025-07-20,Kragujevac,Tastatura,101248,6,607488
186,2025-05-25,Beograd,Monitor,96776,8,774208
187,2025-04-19,Kragujevac,Tastatura,112674,6,676044
188,2025-01-07,Niš,Miš,64851,1,64851
189,2025-07-24,Niš,Slušalice,105127,3,315381
190,2025-04-29,Niš,Tastatura,9875,5,49375
191,2025-02-16,Novi Sad,Tastatura,79706,3,239118
192,2025-12-14,Niš,Miš,10707,4,42828
193,2025-08-17,Niš,Miš,116570,3,349710
194,2025-11-13,Niš,Miš,98037,7,686259
195,2025-02-05,Niš,Monitor,23885,6,143310
196,2025-02-13,Niš,Laptop,102682,4,410728
197,2025-09-16,Novi Sad,Slušalice,37311,6,223866
198,2025-07-27,Kragujevac,Miš,84307,2,168614
199,2025-06-09,Novi Sad,Miš,83440,6,500640
200,2025-08-24,Niš,Slušalice,25460,1,25460
201,2025-04-17,Niš,Laptop,115236,4,460944
202,2025-08-01,Niš,Monitor,16403,9,147627
203,2025-03-05,Kragujevac,Tastatura,5258,6,31548
204,2025-01-23,Novi Sad,Slušalice,41817,9,376353
205,2025-12-09,Niš,Monitor,124874,4,499496
206,2025-06-02,Beograd,Slušalice,128949,5,644745
207,2025-02-26,Beograd,Miš,124473,3,373419
208,2025-06-26,Novi Sad,Tastatura,58016,4,232064
209,2025-06-08,Kragujevac,Laptop,8881,8,71048
210,2025-01-12,Kragujevac,Slušalice,78657,7,550599
211,2025-02-16,Novi Sad,Tastatura,145261,6,871566
212,2025-01-24,Niš,Monitor,132117,6,792702
213,2025-07-26,Niš,Slušalice,96498,6,578988
214,2025-03-24,Niš,Slušalice,30078,2,60156
215,2025-07-10,Beograd,Laptop,54589,1,54589
216,2025-01-15,Niš,Laptop,75879,7,531153
217,2025-01-15,Beograd,Tastatura,87701,1,87701
218,2025-08-13,Kragujevac,Slušalice,112720,8,901760
219,2025-02-07,Niš,Tastatura,91175,3,273525
220,2025-04-22,Beograd,Laptop,16972,3,50916
221,2025-04-22,Kragujevac,Laptop,133347,8,1066776
222,2025-06-21,Beograd,Laptop,116792,3,350376
223,2025-04-15,Kragujevac,Tastatura,79111,4,316444
224,2025-08-12,Beograd,Monitor,24510,7,171570
225,2025-07-17,Kragujevac,Tastatura,46623,6,279738
226,2025-08-18,Kragujevac,Slušalice,43363,2,86726
227,2025-01-07,Kragujevac,Laptop,51054,5,255270
228,2025-04-03,Beograd,Slušalice,130181,2,260362
229,2025-10-29,Beograd,Laptop,78026,1,78026
230,2025-05-25,Beograd,Tastatura,80728,6,484368
231,2025-03-11,Novi Sad,Tastatura,22745,9,204705
232,2025-06-26,Beograd,Miš,139288,4,557152
233,2025-08-01,Kragujevac,Laptop,17835,7,124845
234,2025-12-13,Niš,Monitor,73162,9,658458
235,2025-07-30,Niš,Tastatura,73466,9,661194
236,2025-04-03,Novi Sad,Slušalice,38112,1,38112
237,2025-03-28,Novi Sad,Tastatura,76550,5,382750
238,2025-01-19,Niš,Laptop,20732,1,20732
239,2025-06-14,Kragujevac,Tastatura,31302,4,125208
240,2025-06-08,Novi Sad,Laptop,54544,2,109088
241,2025-12-29,Niš,Tastatura,96893,9,872037
242,2025-07-11,Kragujevac,Monitor,96793,7,677551
243,2025-02-18,Novi Sad,Tastatura,70888,5,354440
244,2025-04-02,Beograd,Slušalice,69145,2,138290
245,2025-09-23,Beograd,Tastatura,7424,7,51968
246,2025-06-19,Niš,Miš,55299,2,110598
247,2025-04-13,Kragujevac,Tastatura,77636,3,232908
248,2025-10-30,Kragujevac,Tastatura,33905,7,237335
249,2025-03-18,Kragujevac,Laptop,126486,3,379458
250,2025-05-27,Kragujevac,Miš,25241,2,50482
251,2025-04-25,Kragujevac,Miš,122017,8,976136
252,2025-08-27,Niš,Monitor,72872,6,437232
253,2025-03-13,Beograd,Slušalice,145670,9,1311030
254,2025-06-12,Beograd,Slušalice,146902,2,293804
255,2025-03-28,Kragujevac,Laptop,116895,3,350685
256,2025-02-28,Kragujevac,Monitor,131842,5,659210
257,2025-07-12,Beograd,Slušalice,22406,7,156842
258,2025-01-19,Kragujevac,Monitor,123482,8,987856
259,2025-05-06,Novi Sad,Tastatura,31700,2,63400
260,2025-09-14,Beograd,Slušalice,43561,7,304927
261,2025-11-27,Kragujevac,Tastatura,126257,6,757542
262,2025-08-13,Kragujevac,Tastatura,67927,8,543416
263,2025-10-11,Kragujevac,Tastatura,11663,8,93304
264,2025-03-04,Kragujevac,Miš,78086,4,312344
265,2025-11-20,Novi Sad,Laptop,82051,4,328204
266,2025-07-01,Kragujevac,Tastatura,128763,5,643815
267,2025-02-01,Niš,Monitor,9075,5,45375
268,2025-12-07,Niš,Laptop,72233,5,361165
269,2025-08-11,Kragujevac,Miš,141674,5,708370
270,2025-06-22,Kragujevac,Laptop,65554,5,327770
271,2025-11-17,Beograd,Slušalice,63819,8,510552
272,2025-02-22,Beograd,Laptop,6085,7,42595
273,2025-10-03,Niš,Miš,90572,7,634004
274,2025-07-10,Novi Sad,Miš,89346,9,804114
275,2025-12-31,Kragujevac,Monitor,116307,2,232614
276,2025-10-31,Novi Sad,Tastatura,44857,2,89714
277,2025-05-26,Kragujevac,Miš,4911,6,29466
278,2025-06-25,Kragujevac,Slušalice,37339,3,112017
279,2025-04-16,Kragujevac,Monitor,121629,8,973032
280,2025-06-21,Novi Sad,Slušalice,105773,8,846184
281,2025-06-14,Novi Sad,Miš,9489,4,37956
282,2025-09-05,Kragujevac,Tastatura,37428,3,112284
283,2025-06-26,Niš,Laptop,26577,6,159462
284,2025-08-08,Niš,Laptop,78971,1,78971
285,2025-07-23,Novi Sad,Miš,100269,4,401076
286,2025-07-17,Niš,Slušalice,80628,9,725652
287,2025-08-20,Novi Sad,Monitor,58673,6,352038
288,2025-07-13,Novi Sad,Slušalice,115396,4,461584
289,2025-04-10,Beograd,Laptop,14634,6,87804
290,2025-07-30,Beograd,Slušalice,83028,9,747252
291,2025-12-30,Novi Sad,Slušalice,134050,4,536200
292,2025-02-07,Kragujevac,Miš,77231,9,695079
293,2025-10-19,Beograd,Laptop,103843,7,726901
294,2025-08-24,Niš,Tastatura,74864,3,224592
295,2025-04-01,Beograd,Miš,45141,9,406269
296,2025-04-13,Novi Sad,Miš,112601,4,450404
297,2025-12-21,Kragujevac,Monitor,113022,7,791154
298,2025-12-10,Niš,Laptop,148955,5,744775
299,2025-03-26,Beograd,Miš,91467,5,457335
300,2025-08-06,Niš,Tastatura,13306,6,79836
301,2025-06-20,Beograd,Miš,11296,3,33888
302,2025-01-04,Niš,Miš,95839,5,479195
303,2025-11-24,Beograd,Miš,23312,2,46624
304,2025-03-15,Beograd,Monitor,27882,3,83646
305,2025-05-02,Niš,Tastatura,137407,2,274814
306,2025-09-18,Kragujevac,Miš,89317,2,178634
307,2025-07-21,Niš,Monitor,15214,1,15214
308,2025-07-02,Novi Sad,Monitor,45121,8,360968
309,2025-06-15,Kragujevac,Tastatura,54982,4,219928
310,2025-06-23,Beograd,Slušalice,43632,7,305424
311,2025-03-17,Kragujevac,Miš,73167,4,292668
312,2025-04-09,Beograd,Slušalice,66994,5,334970
313,2025-01-20,Kragujevac,Tastatura,36895,5,184475
314,2025-03-23,Beograd,Tastatura,60724,6,364344
315,2025-03-18,Beograd,Slušalice,146763,8,1174104
316,2025-02-10,Kragujevac,Miš,138450,7,969150
317,2025-03-25,Kragujevac,Laptop,140571,2,281142
318,2025-08-23,Beograd,Slušalice,5828,5,29140
319,2025-08-07,Beograd,Miš,16674,2,33348
320,2025-04-06,Niš,Tastatura,36649,2,73298
321,2025-06-19,Novi Sad,Monitor,64768,1,64768
322,2025-11-20,Beograd,Slušalice,95817,6,574902
323,2025-02-07,Novi Sad,Monitor,80428,5,402140
324,2025-08-02,Niš,Laptop,14214,1,14214
325,2025-09-14,Novi Sad,Slušalice,85823,2,171646
326,2025-04-05,Niš,Laptop,82112,3,246336
327,2025-04-30,Beograd,Miš,117560,3,352680
328,2025-01-09,Beograd,Miš,148774,4,595096
329,2025-10-15,Novi Sad,Slušalice,137681,6,826086
330,2025-02-14,Beograd,Monitor,62912,3,188736
331,2025-05-02,Beograd,Monitor,130176,6,781056
332,2025-11-09,Novi Sad,Laptop,11117,5,55585
333,2025-02-23,Novi Sad,Laptop,138009,3,414027
334,2025-06-03,Kragujevac,Laptop,67545,3,202635
335,2025-10-03,Kragujevac,Tastatura,67641,6,405846
336,2025-03-03,Niš,Tastatura,19716,7,138012
337,2025-12-14,Kragujevac,Monitor,122611,6,735666
338,2025-12-08,Kragujevac,Laptop,4806,3,14418
339,2025-05-18,Beograd,Miš,73687,2,147374
340,2025-03-15,Niš,Miš,136626,7,956382
341,2025-03-27,Niš,Monitor,132489,2,264978
342,2025-04-25,Niš,Monitor,117187,9,1054683
343,2025-10-17,Beograd,Slušalice,109571,1,109571
344,2025-11-14,Kragujevac,Tastatura,124558,7,871906
345,2025-05-20,Beograd,Slušalice,113367,2,226734
346,2025-03-25,Novi Sad,Monitor,109375,6,656250
347,2025-02-23,Kragujevac,Tastatura,33892,2,67784
348,2025-10-07,Beograd,Slušalice,82730,7,579110
349,2025-08-08,Novi Sad,Slušalice,41935,2,83870
350,2025-06-13,Niš,Slušalice,67327,9,605943
351,2025-05-24,Beograd,Tastatura,16796,9,151164
352,2025-02-23,Niš,Miš,145687,3,437061
353,2025-11-10,Beograd,Monitor,107933,2,215866
354,2025-12-21,Niš,Slušalice,45083,9,405747
355,2025-04-29,Kragujevac,Laptop,109123,5,545615
356,2025-10-22,Niš,Monitor,100880,3,302640
357,2025-08-16,Novi Sad,Slušalice,80188,5,400940
358,2025-04-22,Kragujevac,Tastatura,30656,9,275904
359,2025-11-01,Niš,Miš,136677,8,1093416
360,2025-11-23,Niš,Slušalice,55895,8,447160
361,2025-03-06,Novi Sad,Slušalice,11087,8,88696
362,2025-03-13,Beograd,Laptop,143278,4,573112
363,2025-01-22,Beograd,Miš,28955,1,28955
364,2025-12-19,Novi Sad,Slušalice,95278,3,285834
365,2025-05-06,Beograd,Slušalice,78624,5,393120
366,2025-03-24,Beograd,Monitor,127990,5,639950
367,2025-09-12,Niš,Miš,14379,5,71895
368,2025-04-26,Novi Sad,Monitor,121131,4,484524
369,2025-08-28,Kragujevac,Laptop,89407,1,89407
370,2025-10-27,Kragujevac,Laptop,15829,4,63316
371,2025-01-13,Kragujevac,Monitor,54419,9,489771
372,2025-12-04,Niš,Miš,65228,4,260912
373,2025-10-11,Niš,Laptop,138348,7,968436
374,2025-01-25,Kragujevac,Tastatura,13424,8,107392
375,2025-11-08,Niš,Slušalice,40467,7,283269
376,2025-06-30,Kragujevac,Slušalice,94125,7,658875
377,2025-10-25,Novi Sad,Slušalice,84108,1,84108
378,2025-10-03,Kragujevac,Slušalice,41732,5,208660
379,2025-06-14,Kragujevac,Miš,110294,7,772058
380,2025-09-04,Novi Sad,Tastatura,96120,8,768960
381,2025-06-01,Niš,Monitor,94357,8,754856
382,2025-11-11,Niš,Slušalice,42056,5,210280
383,2025-04-07,Beograd,Miš,129150,8,1033200
384,2025-05-24,Novi Sad,Tastatura,3779,8,30232
385,2025-09-06,Novi Sad,Tastatura,50687,6,304122
386,2025-11-12,Novi Sad,Miš,85351,9,768159
387,2025-09-02,Kragujevac,Tastatura,17048,3,51144
388,2025-01-01,Beograd,Miš,70746,1,70746
389,2025-09-14,Niš,Miš,33329,5,166645
390,2025-07-18,Beograd,Slušalice,25238,7,176666
391,2025-10-22,Niš,Slušalice,76652,8,613216
392,2025-03-18,Niš,Miš,107933,6,647598
393,2025-08-11,Kragujevac,Monitor,88334,5,441670
394,2025-01-17,Niš,Miš,79293,3,237879
395,2025-07-24,Novi Sad,Miš,60531,6,363186
396,2025-01-27,Novi Sad,Monitor,129476,7,906332
397,2025-01-23,Niš,Monitor,113953,9,1025577
398,2025-12-29,Novi Sad,Miš,36391,4,145564
399,2025-01-28,Novi Sad,Tastatura,143603,6,861618
400,2025-06-16,Novi Sad,Miš,131421,2,262842
401,2025-06-17,Novi Sad,Miš,70534,4,282136
402,2025-08-10,Niš,Monitor,135506,1,135506
403,2025-10-15,Beograd,Laptop,138448,6,830688
404,2025-10-19,Beograd,Laptop,147932,4,591728
405,2025-08-08,Novi Sad,Tastatura,78853,8,630824
406,2025-07-11,Niš,Miš,49943,4,199772
407,2025-11-15,Niš,Laptop,83647,7,585529
408,2025-11-29,Kragujevac,Laptop,110878,7,776146
409,2025-01-28,Novi Sad,Slušalice,94674,7,662718
410,2025-11-23,Novi Sad,Slušalice,85760,2,171520
411,2025-01-20,Niš,Miš,9794,9,88146
412,2025-08-20,Kragujevac,Slušalice,143181,8,1145448
413,2025-04-29,Beograd,Laptop,47819,4,191276
414,2025-09-04,Niš,Tastatura,143218,9,1288962
415,2025-07-13,Novi Sad,Tastatura,48165,4,192660
416,2025-01-01,Beograd,Monitor,140248,6,841488
417,2025-06-27,Beograd,Tastatura,63854,6,383124
418,2025-02-23,Kragujevac,Monitor,114505,3,343515
419,2025-05-24,Kragujevac,Miš,42046,6,252276
420,2025-03-31,Beograd,Miš,21266,1,21266
421,2025-11-29,Kragujevac,Tastatura,22271,8,178168
422,2025-10-26,Kragujevac,Slušalice,115549,4,462196
423,2025-04-29,Niš,Laptop,100452,7,703164
424,2025-09-04,Novi Sad,Tastatura,2658,1,2658
425,2025-02-20,Novi Sad,Miš,79351,4,317404
426,2025-04-15,Beograd,Laptop,107453,7,752171
427,2025-08-18,Kragujevac,Slušalice,100396,6,602376
428,2025-03-14,Beograd,Slušalice,22805,8,182440
429,2025-11-14,Novi Sad,Laptop,61639,1,61639
430,2025-07-22,Novi Sad,Tastatura,14680,8,117440
431,2025-01-22,Beograd,Miš,119395,2,238790
432,2025-05-23,Beograd,Monitor,40730,6,244380
433,2025-09-03,Niš,Tastatura,9812,1,9812
434,2025-11-26,Beograd,Slušalice,80483,2,160966
435,2025-04-17,Kragujevac,Tastatura,111735,9,1005615
436,2025-03-11,Niš,Monitor,128598,6,771588
437,2025-11-30,Beograd,Slušalice,86655,1,86655
438,2025-10-14,Niš,Laptop,4597,6,27582
439,2025-11-23,Novi Sad,Monitor,116483,4,465932
440,2025-05-29,Beograd,Miš,17748,4,70992
441,2025-08-30,Beograd,Laptop,109284,5,546420
442,2025-08-20,Niš,Miš,49219,7,344533
443,2025-06-07,Novi Sad,Laptop,135838,1,135838
444,2025-06-12,Niš,Tastatura,59160,1,59160
445,2025-03-06,Kragujevac,Tastatura,106627,4,426508
446,2025-09-16,Novi Sad,Laptop,145056,3,435168
447,2025-03-15,Beograd,Miš,105078,3,315234
448,2025-06-21,Novi Sad,Miš,92711,7,648977
449,2025-01-24,Niš,Tastatura,39658,1,39658
450,2025-10-30,Novi Sad,Slušalice,55468,6,332808
451,2025-03-20,Kragujevac,Monitor,20358,1,20358
452,2025-06-04,Beograd,Tastatura,88115,3,264345
453,2025-08-12,Novi Sad,Laptop,105118,4,420472
454,2025-10-17,Niš,Miš,75994,5,379970
455,2025-01-29,Kragujevac,Slušalice,85268,8,682144
456,2025-11-02,Beograd,Slušalice,43867,3,131601
457,2025-09-28,Kragujevac,Laptop,68440,9,615960
458,2025-12-31,Kragujevac,Slušalice,20627,3,61881
459,2025-04-22,Beograd,Miš,50592,9,455328
460,2025-02-10,Kragujevac,Laptop,133614,1,133614
461,2025-12-10,Beograd,Monitor,68746,6,412476
462,2025-11-13,Novi Sad,Miš,145464,5,727320
463,2025-02-24,Novi Sad,Tastatura,135415,2,270830
464,2025-07-24,Kragujevac,Slušalice,70856,8,566848
465,2025-02-07,Beograd,Monitor,118335,1,118335
466,2025-01-31,Novi Sad,Tastatura,68247,4,272988
467,2025-08-25,Beograd,Laptop,117251,1,117251
468,2025-10-05,Niš,Tastatura,108508,7,759556
469,2025-06-12,Kragujevac,Miš,133116,7,931812
470,2025-03-09,Beograd,Miš,99515,7,696605
471,2025-09-28,Novi Sad,Slušalice,81505,3,244515
472,2025-08-18,Kragujevac,Laptop,57088,9,513792
473,2025-08-31,Niš,Laptop,62756,7,439292
474,2025-08-28,Novi Sad,Laptop,17407,4,69628
475,2025-03-12,Novi Sad,Tastatura,133901,3,401703
476,2025-08-28,Beograd,Monitor,11311,2,22622
477,2025-05-23,Niš,Laptop,125403,9,1128627
478,2025-11-28,Novi Sad,Tastatura,72616,2,145232
479,2025-10-08,Kragujevac,Miš,138422,5,692110
480,2025-05-21,Kragujevac,Tastatura,108920,3,326760
481,2025-08-27,Kragujevac,Miš,7251,9,65259
482,2025-12-08,Niš,Monitor,81102,4,324408
483,2025-01-12,Beograd,Monitor,68530,3,205590
484,2025-07-13,Niš,Tastatura,145595,9,1310355
485,2025-09-08,Novi Sad,Miš,121068,7,847476
486,2025-09-05,Kragujevac,Laptop,88972,4,355888
487,2025-06-09,Beograd,Laptop,123037,8,984296
488,2025-04-24,Kragujevac,Miš,13342,3,40026
489,2025-12-03,Novi Sad,Laptop,90443,9,813987
490,2025-12-04,Novi Sad,Slušalice,5708,9,51372
491,2025-03-27,Niš,Monitor,46868,6,281208
492,2025-07-27,Niš,Monitor,85855,6,515130
493,2025-12-23,Kragujevac,Tastatura,141925,1,141925
494,2025-12-06,Novi Sad,Laptop,131658,3,394974
495,2025-12-06,Niš,Monitor,12374,9,111366
496,2025-08-07,Kragujevac,Slušalice,82834,3,248502
