Datum,Grad,Proizvod,Cena_RSD,Količina
2025-12-07,Kragujevac,Tastatura,102359,1
2025-05-31,Niš,Tastatura,28869,9
2025-02-01,Niš,Laptop,2338,1
2025-06-02,Niš,Tastatura,93879,1
2025-11-09,Niš,Tastatura,28251,5
2025-04-22,Kragujevac,Miš,46508,3
2025-09-23,Beograd,Miš,53652,4
2025-01-15,Niš,Tastatura,35381,9
2025-10-25,Beograd,Slušalice,8645,3
2025-04-11,Niš,Slušalice,68697,9
2025-05-08,Beograd,Laptop,61611,7
2025-05-23,Niš,Miš,140329,8
2025-08-02,Niš,Miš,130196,4
2025-07-21,Beograd,Slušalice,23157,1
2025-08-09,Kragujevac,Miš,139927,5
2025-06-12,Niš,Slušalice,26473,2
2025-05-25,Novi Sad,Laptop,81211,7
2025-02-24,Beograd,Tastatura,68509,7
2025-11-22,Novi Sad,Slušalice,129672,6
2025-07-17,Novi Sad,Laptop,8473,9
2025-07-24,Niš,Miš,117021,7
2025-04-10,Niš,Slušalice,70408,2
2025-01-17,Beograd,Slušalice,98962,4
2025-06-10,Novi Sad,Laptop,138607,5
2025-08-15,Novi Sad,Slušalice,90973,2
2025-05-24,Novi Sad,Slušalice,102622,7
2025-01-09,Beograd,Laptop,95459,9
2025-05-06,Novi Sad,Monitor,2733,6
2025-12-27,Novi Sad,Tastatura,77001,1
2025-11-11,Beograd,Miš,61999,4
2025-08-05,Kragujevac,Tastatura,86119,7
2025-11-02,Kragujevac,Monitor,146489,4
2025-04-10,Kragujevac,Laptop,14756,6
2025-11-12,Niš,Laptop,77800,4
2025-04-03,Beograd,Miš,48412,9
2025-02-01,Beograd,Tastatura,53097,6
2025-03-12,Kragujevac,Miš,128272,1
2025-12-21,Beograd,Slušalice,52122,7
2025-11-16,Niš,Miš,14767,3
2025-02-04,Kragujevac,Laptop,143787,2
2025-06-08,Beograd,Monitor,140832,1
2025-12-11,Niš,Monitor,14314,9
2025-12-06,Kragujevac,Laptop,13344,3
2025-10-19,Novi Sad,Slušalice,138321,5
2025-09-03,Kragujevac,Laptop,138581,9
2025-02-02,Beograd,Monitor,24101,3
2025-04-05,Novi Sad,Slušalice,149874,7
2025-03-12,Beograd,Monitor,147988,1
2025-06-13,Niš,Slušalice,36091,8
2025-08-04,Kragujevac,Slušalice,6193,8
2025-05-09,Novi Sad,Miš,63981,4
2025-03-15,Novi Sad,Tastatura,106347,4
2025-02-06,Kragujevac,Slušalice,109212,8
2025-11-01,Niš,Laptop,56178,6
2025-03-09,Beograd,Slušalice,59456,9
2025-04-09,Novi Sad,Laptop,133517,9
2025-03-14,Niš,Monitor,52379,8
2025-07-20,Kragujevac,Tastatura,101248,6
2025-05-25,Beograd,Monitor,96776,8
2025-04-19,Kragujevac,Tastatura,112674,6
2025-01-07,Niš,Miš,64851,1
2025-07-24,Niš,Slušalice,105127,3
2025-04-29,Niš,Tastatura,9875,5
2025-02-16,Novi Sad,Tastatura,79706,3
2025-12-14,Niš,Miš,10707,4
2025-08-17,Niš,Miš,116570,3
2025-11-13,Niš,Miš,98037,7
2025-02-05,Niš,Monitor,23885,6
2025-02-13,Niš,Laptop,102682,4
2025-09-16,Novi Sad,Slušalice,37311,6
2025-07-27,Kragujevac,Miš,84307,2
2025-06-09,Novi Sad,Miš,83440,6
2025-08-24,Niš,Slušalice,25460,1
2025-04-17,Niš,Laptop,115236,4
2025-08-01,Niš,Monitor,16403,9
2025-03-05,Kragujevac,Tastatura,5258,6
2025-01-23,Novi Sad,Slušalice,41817,9
2025-12-09,Niš,Monitor,124874,4
2025-06-02,Beograd,Slušalice,128949,5
2025-02-26,Beograd,Miš,124473,3
2025-06-26,Novi Sad,Tastatura,58016,4
2025-06-08,Kragujevac,Laptop,8881,8
2025-01-12,Kragujevac,Slušalice,78657,7
2025-02-16,Novi Sad,Tastatura,145261,6
2025-01-24,Niš,Monitor,132117,6
2025-07-26,Niš,Slušalice,96498,6
2025-03-24,Niš,Slušalice,30078,2
2025-07-10,Beograd,Laptop,54589,1
2025-01-15,Niš,Laptop,75879,7
2025-01-15,Beograd,Tastatura,87701,1
2025-08-13,Kragujevac,Slušalice,112720,8
2025-02-07,Niš,Tastatura,91175,3
2025-04-22,Beograd,Laptop,16972,3
2025-04-22,Kragujevac,Laptop,133347,8
2025-06-21,Beograd,Laptop,116792,3
2025-04-15,Kragujevac,Tastatura,79111,4
2025-08-12,Beograd,Monitor,24510,7
2025-07-17,Kragujevac,Tastatura,46623,6
2025-08-18,Kragujevac,Slušalice,43363,2
2025-01-07,Kragujevac,Laptop,51054,5
2025-04-03,Beograd,Slušalice,130181,2
2025-10-29,Beograd,Laptop,78026,1
2025-05-25,Beograd,Tastatura,80728,6
2025-03-11,Novi Sad,Tastatura,22745,9
2025-06-26,Beograd,Miš,139288,4
2025-08-01,Kragujevac,Laptop,17835,7
2025-12-13,Niš,Monitor,73162,9
2025-07-30,Niš,Tastatura,73466,9
2025-04-03,Novi Sad,Slušalice,38112,1
2025-03-28,Novi Sad,Tastatura,76550,5
2025-01-19,Niš,Laptop,20732,1
2025-06-14,Kragujevac,Tastatura,31302,4
2025-06-08,Novi Sad,Laptop,54544,2
2025-12-29,Niš,Tastatura,96893,9
2025-07-11,Kragujevac,Monitor,96793,7
2025-02-18,Novi Sad,Tastatura,70888,5
2025-04-02,Beograd,Slušalice,69145,2
2025-09-23,Beograd,Tastatura,7424,7
2025-06-19,Niš,Miš,55299,2
2025-04-13,Kragujevac,Tastatura,77636,3
2025-10-30,Kragujevac,Tastatura,33905,7
2025-03-18,Kragujevac,Laptop,126486,3
2025-05-27,Kragujevac,Miš,25241,2
2025-04-25,Kragujevac,Miš,122017,8
2025-08-27,Niš,Monitor,72872,6
2025-03-13,Beograd,Slušalice,145670,9
2025-06-12,Beograd,Slušalice,146902,2
2025-03-28,Kragujevac,Laptop,116895,3
2025-02-28,Kragujevac,Monitor,131842,5
2025-07-12,Beograd,Slušalice,22406,7
2025-01-19,Kragujevac,Monitor,123482,8
2025-05-06,Novi Sad,Tastatura,31700,2
2025-09-14,Beograd,Slušalice,43561,7
2025-11-27,Kragujevac,Tastatura,126257,6
2025-08-13,Kragujevac,Tastatura,67927,8
2025-10-11,Kragujevac,Tastatura,11663,8
2025-03-04,Kragujevac,Miš,78086,4
2025-11-20,Novi Sad,Laptop,82051,4
2025-07-01,Kragujevac,Tastatura,128763,5
2025-02-01,Niš,Monitor,9075,5
2025-12-07,Niš,Laptop,72233,5
2025-08-11,Kragujevac,Miš,141674,5
2025-06-22,Kragujevac,Laptop,65554,5
2025-11-17,Beograd,Slušalice,63819,8
2025-02-22,Beograd,Laptop,6085,7
2025-10-03,Niš,Miš,90572,7
2025-07-10,Novi Sad,Miš,89346,9
2025-12-31,Kragujevac,Monitor,116307,2
2025-10-31,Novi Sad,Tastatura,44857,2
2025-05-26,Kragujevac,Miš,4911,6
2025-06-25,Kragujevac,Slušalice,37339,3
2025-04-16,Kragujevac,Monitor,121629,8
2025-06-21,Novi Sad,Slušalice,105773,8
2025-06-14,Novi Sad,Miš,9489,4
2025-09-05,Kragujevac,Tastatura,37428,3
2025-06-26,Niš,Laptop,26577,6
2025-08-08,Niš,Laptop,78971,1
2025-07-23,Novi Sad,Miš,100269,4
2025-07-17,Niš,Slušalice,80628,9
2025-08-20,Novi Sad,Monitor,58673,6
2025-07-13,Novi Sad,Slušalice,115396,4
2025-04-10,Beograd,Laptop,14634,6
2025-07-30,Beograd,Slušalice,83028,9
2025-12-30,Novi Sad,Slušalice,134050,4
2025-02-07,Kragujevac,Miš,77231,9
2025-10-19,Beograd,Laptop,103843,7
2025-08-24,Niš,Tastatura,74864,3
2025-04-01,Beograd,Miš,45141,9
2025-04-13,Novi Sad,Miš,112601,4
2025-12-21,Kragujevac,Monitor,113022,7
2025-12-10,Niš,Laptop,148955,5
2025-03-26,Beograd,Miš,91467,5
2025-08-06,Niš,Tastatura,13306,6
2025-06-20,Beograd,Miš,11296,3
2025-01-04,Niš,Miš,95839,5
2025-11-24,Beograd,Miš,23312,2
2025-03-15,Beograd,Monitor,27882,3
2025-05-02,Niš,Tastatura,137407,2
2025-09-18,Kragujevac,Miš,89317,2
2025-07-21,Niš,Monitor,15214,1
2025-07-02,Novi Sad,Monitor,45121,8
2025-06-15,Kragujevac,Tastatura,54982,4
2025-06-23,Beograd,Slušalice,43632,7
2025-03-17,Kragujevac,Miš,73167,4
2025-04-09,Beograd,Slušalice,66994,5
2025-01-20,Kragujevac,Tastatura,36895,5
2025-03-23,Beograd,Tastatura,60724,6
2025-03-18,Beograd,Slušalice,146763,8
2025-02-10,Kragujevac,Miš,138450,7
2025-03-25,Kragujevac,Laptop,140571,2
2025-08-23,Beograd,Slušalice,5828,5
2025-08-07,Beograd,Miš,16674,2
2025-04-06,Niš,Tastatura,36649,2
2025-06-19,Novi Sad,Monitor,64768,1
2025-11-20,Beograd,Slušalice,95817,6
2025-02-07,Novi Sad,Monitor,80428,5
2025-08-02,Niš,Laptop,14214,1
2025-09-14,Novi Sad,Slušalice,85823,2
2025-04-05,Niš,Laptop,82112,3
2025-04-30,Beograd,Miš,117560,3
2025-01-09,Beograd,Miš,148774,4
2025-10-15,Novi Sad,Slušalice,137681,6
2025-02-14,Beograd,Monitor,62912,3
2025-05-02,Beograd,Monitor,130176,6
2025-11-09,Novi Sad,Laptop,11117,5
2025-02-23,Novi Sad,Laptop,138009,3
2025-06-03,Kragujevac,Laptop,67545,3
2025-10-03,Kragujevac,Tastatura,67641,6
2025-03-03,Niš,Tastatura,19716,7
2025-12-14,Kragujevac,Monitor,122611,6
2025-12-08,Kragujevac,Laptop,4806,3
2025-05-18,Beograd,Miš,73687,2
2025-03-15,Niš,Miš,136626,7
2025-03-27,Niš,Monitor,132489,2
2025-04-25,Niš,Monitor,117187,9
2025-10-17,Beograd,Slušalice,109571,1
2025-11-14,Kragujevac,Tastatura,124558,7
2025-05-20,Beograd,Slušalice,113367,2
2025-03-25,Novi Sad,Monitor,109375,6
2025-02-23,Kragujevac,Tastatura,33892,2
2025-10-07,Beograd,Slušalice,82730,7
2025-08-08,Novi Sad,Slušalice,41935,2
2025-06-13,Niš,Slušalice,67327,9
2025-05-24,Beograd,Tastatura,16796,9
2025-02-23,Niš,Miš,145687,3
2025-11-10,Beograd,Monitor,107933,2
2025-12-21,Niš,Slušalice,45083,9
2025-04-29,Kragujevac,Laptop,109123,5
2025-10-22,Niš,Monitor,100880,3
2025-08-16,Novi Sad,Slušalice,80188,5
2025-04-22,Kragujevac,Tastatura,30656,9
2025-11-01,Niš,Miš,136677,8
2025-11-23,Niš,Slušalice,55895,8
2025-03-06,Novi Sad,Slušalice,11087,8
2025-03-13,Beograd,Laptop,143278,4
2025-01-22,Beograd,Miš,28955,1
2025-12-19,Novi Sad,Slušalice,95278,3
2025-05-06,Beograd,Slušalice,78624,5
2025-03-24,Beograd,Monitor,127990,5
2025-09-12,Niš,Miš,14379,5
2025-04-26,Novi Sad,Monitor,121131,4
2025-08-28,Kragujevac,Laptop,89407,1
2025-10-27,Kragujevac,Laptop,15829,4
2025-01-13,Kragujevac,Monitor,54419,9
2025-12-04,Niš,Miš,65228,4
2025-10-11,Niš,Laptop,138348,7
2025-01-25,Kragujevac,Tastatura,13424,8
2025-11-08,Niš,Slušalice,40467,7
2025-06-30,Kragujevac,Slušalice,94125,7
2025-10-25,Novi Sad,Slušalice,84108,1
2025-10-03,Kragujevac,Slušalice,41732,5
2025-06-14,Kragujevac,Miš,110294,7
2025-09-04,Novi Sad,Tastatura,96120,8
2025-06-01,Niš,Monitor,94357,8
2025-11-11,Niš,Slušalice,42056,5
2025-04-07,Beograd,Miš,129150,8
2025-05-24,Novi Sad,Tastatura,3779,8
2025-09-06,Novi Sad,Tastatura,50687,6
2025-11-12,Novi Sad,Miš,85351,9
2025-09-02,Kragujevac,Tastatura,17048,3
2025-01-01,Beograd,Miš,70746,1
2025-09-14,Niš,Miš,33329,5
2025-07-18,Beograd,Slušalice,25238,7
2025-10-22,Niš,Slušalice,76652,8
2025-03-18,Niš,Miš,107933,6
2025-08-11,Kragujevac,Monitor,88334,5
2025-01-17,Niš,Miš,79293,3
2025-07-24,Novi Sad,Miš,60531,6
2025-01-27,Novi Sad,Monitor,129476,7
2025-01-23,Niš,Monitor,113953,9
2025-12-29,Novi Sad,Miš,36391,4
2025-01-28,Novi Sad,Tastatura,143603,6
2025-06-16,Novi Sad,Miš,131421,2
2025-06-17,Novi Sad,Miš,70534,4
2025-08-10,Niš,Monitor,135506,1
2025-10-15,Beograd,Laptop,138448,6
2025-10-19,Beograd,Laptop,147932,4
2025-08-08,Novi Sad,Tastatura,78853,8
2025-07-11,Niš,Miš,49943,4
2025-11-15,Niš,Laptop,83647,7
2025-11-29,Kragujevac,Laptop,110878,7
2025-01-28,Novi Sad,Slušalice,94674,7
2025-11-23,Novi Sad,Slušalice,85760,2
2025-01-20,Niš,Miš,9794,9
2025-08-20,Kragujevac,Slušalice,143181,8
2025-04-29,Beograd,Laptop,47819,4
2025-09-04,Niš,Tastatura,143218,9
2025-07-13,Novi Sad,Tastatura,48165,4
2025-01-01,Beograd,Monitor,140248,6
2025-06-27,Beograd,Tastatura,63854,6
2025-02-23,Kragujevac,Monitor,114505,3
2025-05-24,Kragujevac,Miš,42046,6
2025-03-31,Beograd,Miš,21266,1
2025-11-29,Kragujevac,Tastatura,22271,8
2025-10-26,Kragujevac,Slušalice,115549,4
2025-04-29,Niš,Laptop,100452,7
2025-09-04,Novi Sad,Tastatura,2658,1
2025-02-20,Novi Sad,Miš,79351,4
2025-04-15,Beograd,Laptop,107453,7
2025-08-18,Kragujevac,Slušalice,100396,6
2025-03-14,Beograd,Slušalice,22805,8
2025-11-14,Novi Sad,Laptop,61639,1
2025-07-22,Novi Sad,Tastatura,14680,8
2025-01-22,Beograd,Miš,119395,2
2025-05-23,Beograd,Monitor,40730,6
2025-09-03,Niš,Tastatura,9812,1
2025-11-26,Beograd,Slušalice,80483,2
2025-04-17,Kragujevac,Tastatura,111735,9
2025-03-11,Niš,Monitor,128598,6
2025-11-30,Beograd,Slušalice,86655,1
2025-10-14,Niš,Laptop,4597,6
2025-11-23,Novi Sad,Monitor,116483,4
2025-05-29,Beograd,Miš,17748,4
2025-08-30,Beograd,Laptop,109284,5
2025-08-20,Niš,Miš,49219,7
2025-06-07,Novi Sad,Laptop,135838,1
2025-06-12,Niš,Tastatura,59160,1
2025-03-06,Kragujevac,Tastatura,106627,4
2025-09-16,Novi Sad,Laptop,145056,3
2025-03-15,Beograd,Miš,105078,3
2025-06-21,Novi Sad,Miš,92711,7
2025-01-24,Niš,Tastatura,39658,1
2025-10-30,Novi Sad,Slušalice,55468,6
2025-03-20,Kragujevac,Monitor,20358,1
2025-06-04,Beograd,Tastatura,88115,3
2025-08-12,Novi Sad,Laptop,105118,4
2025-10-17,Niš,Miš,75994,5
2025-01-29,Kragujevac,Slušalice,85268,8
2025-11-02,Beograd,Slušalice,43867,3
2025-09-28,Kragujevac,Laptop,68440,9
2025-12-31,Kragujevac,Slušalice,20627,3
2025-04-22,Beograd,Miš,50592,9
2025-02-10,Kragujevac,Laptop,133614,1
2025-12-10,Beograd,Monitor,68746,6
2025-11-13,Novi Sad,Miš,145464,5
2025-02-24,Novi Sad,Tastatura,135415,2
2025-07-24,Kragujevac,Slušalice,70856,8
2025-02-07,Beograd,Monitor,118335,1
2025-01-31,Novi Sad,Tastatura,68247,4
2025-08-25,Beograd,Laptop,117251,1
2025-10-05,Niš,Tastatura,108508,7
2025-06-12,Kragujevac,Miš,133116,7
2025-03-09,Beograd,Miš,99515,7
2025-09-28,Novi Sad,Slušalice,81505,3
2025-08-18,Kragujevac,Laptop,57088,9
2025-08-31,Niš,Laptop,62756,7
2025-08-28,Novi Sad,Laptop,17407,4
2025-03-12,Novi Sad,Tastatura,133901,3
2025-08-28,Beograd,Monitor,11311,2
2025-05-23,Niš,Laptop,125403,9
2025-11-28,Novi Sad,Tastatura,72616,2
2025-10-08,Kragujevac,Miš,138422,5
2025-05-21,Kragujevac,Tastatura,108920,3
2025-08-27,Kragujevac,Miš,7251,9
2025-12-08,Niš,Monitor,81102,4
2025-01-12,Beograd,Monitor,68530,3
2025-07-13,Niš,Tastatura,145595,9
2025-09-08,Novi Sad,Miš,121068,7
2025-09-05,Kragujevac,Laptop,88972,4
2025-06-09,Beograd,Laptop,123037,8
2025-04-24,Kragujevac,Miš,13342,3
2025-12-03,Novi Sad,Laptop,90443,9
2025-12-04,Novi Sad,Slušalice,5708,9
2025-03-27,Niš,Monitor,46868,6
2025-07-27,Niš,Monitor,85855,6
2025-12-23,Kragujevac,Tastatura,141925,1
2025-12-06,Novi Sad,Laptop,131658,3
2025-12-06,Niš,Monitor,12374,9
2025-08-07,Kragujevac,Slušalice,82834,3
2025-08-29,Beograd,Tastatura,19176,1
2025-02-20,Novi Sad,Tastatura,87259,8
2025-06-20,Kragujevac,Tastatura,78871,5
2025-09-05,Kragujevac,Laptop,98909,9
2025-02-02,Kragujevac,Tastatura,110313,5
2025-12-19,Beograd,Miš,91299,7
2025-05-02,Kragujevac,Miš,119093,8
2025-05-07,Beograd,Laptop,59719,5
2025-11-28,Beograd,Monitor,113662,3
2025-12-15,Beograd,Laptop,28446,1
2025-04-14,Novi Sad,Laptop,114452,9
2025-08-04,Niš,Slušalice,44218,2
2025-05-26,Niš,Slušalice,32205,2
2025-03-26,Beograd,Monitor,77989,9
2025-10-17,Kragujevac,Miš,74469,5
2025-04-14,Beograd,Miš,115191,4
2025-11-09,Niš,Miš,133686,6
2025-04-14,Niš,Slušalice,51513,7
2025-05-24,Niš,Slušalice,85173,5
2025-08-23,Niš,Monitor,83173,8
2025-05-11,Beograd,Tastatura,56101,3
2025-07-20,Novi Sad,Tastatura,56254,7
2025-12-12,Kragujevac,Slušalice,32742,8
2025-12-30,Kragujevac,Monitor,111976,7
2025-01-13,Kragujevac,Miš,27862,6
2025-01-02,Novi Sad,Monitor,72540,8
2025-05-18,Beograd,Tastatura,46226,9
2025-10-21,Beograd,Slušalice,122019,9
2025-08-11,Novi Sad,Miš,70653,3
2025-04-14,Beograd,Monitor,124540,4
2025-03-22,Novi Sad,Monitor,102353,1
2025-07-04,Kragujevac,Tastatura,104563,8
2025-03-01,Novi Sad,Tastatura,91769,5
2025-01-08,Niš,Tastatura,79827,1
2025-04-08,Niš,Laptop,42327,2
2025-05-03,Niš,Miš,33787,6
2025-09-18,Niš,Laptop,23787,6
2025-01-01,Niš,Laptop,55426,9
2025-11-15,Niš,Monitor,34400,2
2025-11-25,Novi Sad,Monitor,146006,6
2025-11-06,Beograd,Monitor,115838,4
2025-01-21,Novi Sad,Monitor,43757,5
2025-05-09,Novi Sad,Tastatura,107264,6
2025-07-29,Beograd,Laptop,19276,2
2025-04-20,Kragujevac,Slušalice,139450,5
2025-02-04,Kragujevac,Monitor,93841,8
2025-09-15,Novi Sad,Laptop,63996,9
2025-05-19,Novi Sad,Slušalice,46666,2
2025-08-24,Niš,Tastatura,4421,1
2025-11-12,Niš,Slušalice,75023,5
2025-09-11,Niš,Tastatura,84723,2
2025-09-30,Kragujevac,Slušalice,60409,5
2025-11-28,Beograd,Monitor,125398,3
2025-01-29,Novi Sad,Laptop,60025,8
2025-10-30,Kragujevac,Miš,76304,3
2025-08-29,Beograd,Miš,123993,1
2025-04-22,Niš,Laptop,25180,8
2025-09-04,Kragujevac,Slušalice,109844,5
2025-07-24,Kragujevac,Miš,36228,2
2025-04-23,Beograd,Slušalice,26386,7
2025-01-21,Niš,Tastatura,148089,5
2025-12-30,Novi Sad,Slušalice,107534,9
2025-11-04,Kragujevac,Miš,94834,5
2025-08-17,Niš,Laptop,142916,9
2025-08-17,Novi Sad,Laptop,61605,5
2025-07-14,Kragujevac,Laptop,63264,2
2025-07-29,Beograd,Tastatura,118506,3
2025-09-24,Niš,Slušalice,59576,5
2025-05-13,Niš,Slušalice,54538,3
2025-01-28,Novi Sad,Slušalice,75079,5
2025-08-08,Kragujevac,Slušalice,31090,6
2025-04-22,Novi Sad,Miš,102028,5
2025-03-15,Novi Sad,Miš,74058,3
2025-07-25,Beograd,Monitor,84592,4
2025-05-14,Beograd,Laptop,43283,9
2025-05-27,Novi Sad,Laptop,117253,5
2025-10-15,Beograd,Laptop,97842,7
2025-03-29,Kragujevac,Tastatura,53496,1
2025-10-24,Niš,Monitor,69547,7
2025-04-09,Novi Sad,Monitor,83385,4
2025-03-18,Beograd,Miš,135036,4
2025-10-19,Novi Sad,Slušalice,53585,6
2025-11-29,Niš,Laptop,104696,9
2025-03-18,Niš,Monitor,103550,4
2025-04-25,Beograd,Slušalice,149455,5
2025-04-06,Kragujevac,Tastatura,12351,9
2025-02-22,Beograd,Miš,36993,2
2025-11-25,Kragujevac,Monitor,5483,2
2025-03-04,Beograd,Monitor,67573,9
2025-05-10,Novi Sad,Miš,70297,7
2025-11-07,Beograd,Miš,31737,7
2025-12-31,Niš,Laptop,110457,6
2025-07-19,Niš,Monitor,78664,5
2025-09-05,Kragujevac,Slušalice,64925,2
2025-07-17,Kragujevac,Miš,126319,2
2025-05-02,Kragujevac,Monitor,137887,9
2025-05-30,Kragujevac,Laptop,123000,9
2025-06-05,Novi Sad,Monitor,64602,8
2025-12-24,Niš,Monitor,37286,9
2025-01-04,Kragujevac,Monitor,62391,3
2025-04-12,Niš,Miš,102417,7
2025-03-04,Beograd,Miš,129443,5
2025-06-02,Beograd,Laptop,70047,9
2025-04-20,Niš,Miš,84089,4
2025-09-08,Kragujevac,Tastatura,116954,4
2025-05-20,Novi Sad,Tastatura,6503,5
2025-05-26,Niš,Laptop,49549,5
2025-08-06,Niš,Slušalice,23151,1
2025-01-18,Kragujevac,Laptop,57788,4
2025-12-20,Kragujevac,Miš,48341,8
2025-12-05,Beograd,Monitor,68955,7
