Datum,Proizvod,Grad,Cena_EUR,Količina,Ukupna_Zarada
2025-09-18,Pametna Brava Locky,Novi Sad,249.02,3.0,747.06
2025-08-19,Pametna Brava Locky,Niš,80.07,5.0,400.35
2025-02-10,Prečišćivač AirPro,Novi Sad,99.63,9.0,896.67
2025-01-28,Senzor Pokreta,Novi Sad,50.11,3.0,150.33
2025-05-15,Robot Usisivač X1,Niš,77.61,7.0,543.27
2025-07-20,Prečišćivač AirPro,Novi Sad,209.63,1.0,209.63
2025-11-24,Prečišćivač AirPro,Niš,243.36,4.0,973.44
2025-09-25,Senzor Pokreta,Beograd,17.86,4.0,71.44
2025-02-02,Robot Usisivač X1,Niš,360.59,7.0,2524.13
2025-02-17,Pametna Sijalica RGB,Niš,139.43,8.0,1115.44
2025-03-03,Pametna Sijalica RGB,Kragujevac,411.21,1.0,411.21
2025-08-04,Prečišćivač AirPro,Niš,435.7,5.0,2178.5
2025-10-20,Robot Usisivač X1,Niš,91.6,7.0,641.2
2025-04-09,Prečišćivač AirPro,Beograd,213.32,4.0,853.28
2025-06-21,Pametna Brava Locky,Kragujevac,10.54,4.0,42.16
2025-12-26,Prečišćivač AirPro,Subotica,273.26,4.0,1093.04
2025-08-02,Prečišćivač AirPro,Beograd,277.21,6.0,1663.26
2025-02-04,Pametna Sijalica RGB,Beograd,118.92,7.0,832.44
2025-08-15,Pametna Sijalica RGB,Subotica,255.7,2.0,511.4
2025-04-11,Pametna Sijalica RGB,Niš,109.24,5.0,546.2
2025-05-11,Pametna Brava Locky,Novi Sad,80.76,4.0,323.04
2025-09-14,Pametna Sijalica RGB,Kragujevac,296.67,3.0,890.01
2025-01-05,Robot Usisivač X1,Novi Sad,153.41,7.0,1073.87
2025-08-06,Senzor Pokreta,Subotica,269.72,6.0,1618.32
2025-09-12,Robot Usisivač X1,Beograd,200.63,7.0,1404.41
2025-12-25,Robot Usisivač X1,Beograd,443.11,5.0,2215.55
2025-10-10,Pametna Sijalica RGB,Kragujevac,75.82,6.0,454.92
2025-01-15,Senzor Pokreta,Beograd,309.4,7.0,2165.8
2025-12-12,Senzor Pokreta,Kragujevac,184.04,2.0,368.08
2025-02-11,Pametna Brava Locky,Kragujevac,438.87,5.0,2194.35
2025-06-28,Pametna Sijalica RGB,Subotica,327.63,6.0,1965.78
2025-03-04,Senzor Pokreta,Beograd,299.07,6.0,1794.42
2025-12-18,Pametna Brava Locky,Beograd,343.11,5.0,1715.55
2025-08-19,Prečišćivač AirPro,Subotica,429.17,7.0,3004.19
2025-08-29,Prečišćivač AirPro,Niš,409.44,8.0,3275.52
2025-02-21,Pametna Brava Locky,Niš,328.69,7.0,2300.83
2025-04-06,Pametna Brava Locky,Niš,339.63,5.0,1698.15
2025-08-10,Pametna Sijalica RGB,Subotica,74.21,1.0,74.21
2025-08-19,Pametna Sijalica RGB,Beograd,55.23,5.0,276.15
2025-08-25,Prečišćivač AirPro,Subotica,261.2,2.0,522.4
2025-05-23,Senzor Pokreta,Subotica,18.08,5.0,90.4
2025-02-05,Senzor Pokreta,Beograd,162.25,5.0,811.25
2025-01-13,Pametna Sijalica RGB,Niš,351.35,4.0,1405.4
2025-06-09,Robot Usisivač X1,Novi Sad,424.14,1.0,424.14
2025-11-23,Robot Usisivač X1,Novi Sad,41.86,3.0,125.58
2025-07-06,Pametna Brava Locky,Kragujevac,245.07,1.0,245.07
2025-08-31,Pametna Sijalica RGB,Beograd,398.31,5.0,1991.55
2025-10-11,Robot Usisivač X1,Niš,372.79,7.0,2609.53
2025-03-07,Senzor Pokreta,Kragujevac,167.43,5.0,837.15
2025-06-19,Robot Usisivač X1,Beograd,151.72,4.0,606.88
2025-02-14,Robot Usisivač X1,Subotica,440.09,2.0,880.18
2025-03-03,Robot Usisivač X1,Niš,98.38,4.0,393.52
2025-05-14,Pametna Sijalica RGB,Novi Sad,315.01,2.0,630.02
2025-10-11,Prečišćivač AirPro,Novi Sad,371.43,8.0,2971.44
2025-01-28,Senzor Pokreta,Niš,28.12,3.0,84.36
2025-04-18,Pametna Sijalica RGB,Novi Sad,304.97,9.0,2744.73
2025-02-13,Pametna Sijalica RGB,Kragujevac,428.68,4.0,1714.72
2025-12-06,Pametna Sijalica RGB,Beograd,64.66,6.0,387.96
2025-10-13,Pametna Sijalica RGB,Kragujevac,404.34,5.0,2021.7
2025-11-27,Pametna Sijalica RGB,Novi Sad,271.7,1.0,271.7
2025-12-14,Senzor Pokreta,Beograd,279.7,1.0,279.7
2025-07-09,Senzor Pokreta,Niš,421.49,9.0,3793.41
2025-08-13,Pametna Brava Locky,Niš,426.83,9.0,3841.47
2025-10-10,Pametna Brava Locky,Subotica,285.13,1.0,285.13
2025-05-01,Senzor Pokreta,Beograd,354.71,2.0,709.42
2025-04-26,Robot Usisivač X1,Subotica,279.39,1.0,279.39
2025-08-21,Prečišćivač AirPro,Niš,223.14,2.0,446.28
2025-09-16,Robot Usisivač X1,Niš,300.76,8.0,2406.08
2025-12-25,Robot Usisivač X1,Beograd,253.32,5.0,1266.6
2025-07-17,Robot Usisivač X1,Kragujevac,272.89,7.0,1910.23
2025-05-17,Pametna Sijalica RGB,Novi Sad,354.89,2.0,709.78
2025-11-14,Pametna Brava Locky,Niš,221.6,8.0,1772.8
2025-06-14,Robot Usisivač X1,Niš,27.93,6.0,167.58
2025-08-13,Pametna Brava Locky,Kragujevac,82.16,8.0,657.28
2025-11-03,Senzor Pokreta,Kragujevac,202.99,1.0,202.99
2025-08-22,Prečišćivač AirPro,Subotica,328.92,1.0,328.92
2025-06-21,Senzor Pokreta,Subotica,271.04,7.0,1897.28
2025-06-01,Senzor Pokreta,Novi Sad,296.13,8.0,2369.04
2025-11-11,Pametna Sijalica RGB,Novi Sad,220.88,3.0,662.64
2025-06-09,Prečišćivač AirPro,Beograd,280.93,5.0,1404.65
2025-04-06,Senzor Pokreta,Subotica,154.77,1.0,154.77
2025-08-21,Senzor Pokreta,Niš,216.88,7.0,1518.16
2025-06-29,Prečišćivač AirPro,Subotica,337.48,5.0,1687.4
2025-11-14,Senzor Pokreta,Kragujevac,200.81,8.0,1606.48
2025-02-21,Prečišćivač AirPro,Subotica,29.21,9.0,262.89
2025-09-25,Senzor Pokreta,Kragujevac,81.14,7.0,567.98
2025-10-22,Senzor Pokreta,Novi Sad,19.18,1.0,19.18
2025-04-23,Pametna Sijalica RGB,Novi Sad,297.44,3.0,892.32
2025-04-11,Robot Usisivač X1,Beograd,156.22,8.0,1249.76
2025-04-23,Senzor Pokreta,Subotica,248.69,3.0,746.07
2025-03-22,Pametna Brava Locky,Kragujevac,227.04,8.0,1816.32
2025-07-06,Robot Usisivač X1,Niš,45.87,1.0,45.87
2025-04-23,Robot Usisivač X1,Novi Sad,187.43,5.0,937.15
2025-01-02,Robot Usisivač X1,Novi Sad,107.05,4.0,428.2
2025-05-10,Pametna Sijalica RGB,Niš,194.1,5.0,970.5
2025-08-08,Senzor Pokreta,Kragujevac,99.57,8.0,796.56
2025-02-23,Pametna Sijalica RGB,Kragujevac,379.8,4.0,1519.2
2025-12-09,Senzor Pokreta,Subotica,86.65,4.0,346.6
2025-08-12,Pametna Sijalica RGB,Subotica,432.74,3.0,1298.22
2025-08-13,Pametna Sijalica RGB,Beograd,193.0,7.0,1351.0
2025-05-06,Pametna Brava Locky,Novi Sad,382.35,3.0,1147.05
2025-02-22,Prečišćivač AirPro,Kragujevac,333.55,5.0,1667.75
2025-06-21,Pametna Brava Locky,Niš,347.8,5.0,1739.0
2025-08-06,Pametna Sijalica RGB,Kragujevac,232.13,6.0,1392.78
2025-06-09,Robot Usisivač X1,Novi Sad,249.05,8.0,1992.4
2025-07-17,Prečišćivač AirPro,Kragujevac,236.16,6.0,1416.96
2025-11-20,Prečišćivač AirPro,Novi Sad,22.93,8.0,183.44
2025-07-22,Pametna Brava Locky,Niš,184.03,8.0,1472.24
2025-07-03,Pametna Sijalica RGB,Beograd,276.72,9.0,2490.48
2025-05-03,Pametna Sijalica RGB,Novi Sad,273.0,9.0,2457.0
2025-09-12,Robot Usisivač X1,Niš,358.9,2.0,717.8
2025-10-21,Robot Usisivač X1,Beograd,298.2,2.0,596.4
2025-10-07,Prečišćivač AirPro,Beograd,446.54,3.0,1339.62
2025-04-08,Pametna Brava Locky,Subotica,168.03,4.0,672.12
2025-07-17,Pametna Sijalica RGB,Beograd,178.89,4.0,715.56
2025-08-28,Prečišćivač AirPro,Beograd,214.96,9.0,1934.64
2025-05-24,Robot Usisivač X1,Niš,377.84,9.0,3400.56
2025-04-07,Pametna Brava Locky,Kragujevac,113.75,9.0,1023.75
2025-05-04,Robot Usisivač X1,Novi Sad,188.34,2.0,376.68
2025-07-06,Pametna Sijalica RGB,Subotica,274.82,5.0,1374.1
2025-11-22,Robot Usisivač X1,Subotica,288.32,4.0,1153.28
2025-12-15,Prečišćivač AirPro,Novi Sad,174.05,8.0,1392.4
2025-09-16,Robot Usisivač X1,Subotica,235.55,2.0,471.1
2025-05-28,Pametna Brava Locky,Niš,191.73,6.0,1150.38
2025-09-09,Robot Usisivač X1,Novi Sad,40.42,5.0,202.1
2025-05-27,Senzor Pokreta,Novi Sad,52.85,1.0,52.85
2025-05-28,Robot Usisivač X1,Kragujevac,188.21,8.0,1505.68
2025-12-18,Pametna Sijalica RGB,Beograd,270.88,2.0,541.76
2025-07-18,Pametna Sijalica RGB,Novi Sad,264.94,7.0,1854.58
2025-11-04,Pametna Brava Locky,Beograd,301.55,9.0,2713.95
2025-05-08,Pametna Sijalica RGB,Subotica,51.92,9.0,467.28
2025-02-08,Pametna Sijalica RGB,Beograd,296.93,8.0,2375.44
2025-12-26,Pametna Sijalica RGB,Kragujevac,185.58,2.0,371.16
2025-05-09,Prečišćivač AirPro,Subotica,387.51,6.0,2325.06
2025-09-24,Prečišćivač AirPro,Novi Sad,13.97,4.0,55.88
2025-10-25,Robot Usisivač X1,Niš,273.43,5.0,1367.15
2025-04-09,Pametna Sijalica RGB,Beograd,184.53,3.0,553.59
2025-09-20,Robot Usisivač X1,Niš,114.29,1.0,114.29
2025-05-24,Pametna Brava Locky,Kragujevac,398.83,5.0,1994.15
2025-12-12,Pametna Sijalica RGB,Subotica,204.49,3.0,613.47
2025-03-01,Senzor Pokreta,Subotica,207.46,7.0,1452.22
2025-01-02,Robot Usisivač X1,Novi Sad,304.53,1.0,304.53
2025-10-31,Robot Usisivač X1,Subotica,74.13,9.0,667.17
2025-09-11,Prečišćivač AirPro,Beograd,207.75,2.0,415.5
2025-05-20,Senzor Pokreta,Novi Sad,268.67,5.0,1343.35
2025-02-06,Prečišćivač AirPro,Subotica,427.38,5.0,2136.9
2025-06-09,Prečišćivač AirPro,Kragujevac,121.11,8.0,968.88
2025-01-09,Prečišćivač AirPro,Novi Sad,168.07,8.0,1344.56
2025-08-21,Pametna Brava Locky,Novi Sad,176.92,7.0,1238.44
2025-04-09,Pametna Brava Locky,Kragujevac,276.44,7.0,1935.08
2025-05-27,Prečišćivač AirPro,Niš,166.96,6.0,1001.76
2025-10-31,Senzor Pokreta,Beograd,244.75,6.0,1468.5
2025-07-27,Robot Usisivač X1,Niš,353.99,9.0,3185.91
2025-06-01,Pametna Sijalica RGB,Kragujevac,206.4,2.0,412.8
2025-02-23,Pametna Brava Locky,Niš,390.26,2.0,780.52
2025-04-30,Robot Usisivač X1,Novi Sad,255.58,5.0,1277.9
2025-04-26,Pametna Sijalica RGB,Subotica,25.04,2.0,50.08
2025-04-23,Prečišćivač AirPro,Niš,64.11,7.0,448.77
2025-04-14,Pametna Brava Locky,Kragujevac,111.7,8.0,893.6
2025-09-11,Senzor Pokreta,Niš,291.6,5.0,1458.0
2025-08-15,Prečišćivač AirPro,Niš,108.87,1.0,108.87
2025-04-09,Prečišćivač AirPro,Subotica,48.96,3.0,146.88
2025-06-02,Prečišćivač AirPro,Beograd,55.46,6.0,332.76
2025-12-15,Pametna Brava Locky,Novi Sad,267.26,3.0,801.78
2025-12-04,Pametna Brava Locky,Kragujevac,312.81,7.0,2189.67
2025-07-13,Prečišćivač AirPro,Kragujevac,184.85,7.0,1293.95
2025-11-06,Senzor Pokreta,Niš,221.15,9.0,1990.35
2025-06-12,Robot Usisivač X1,Niš,311.83,5.0,1559.15
2025-07-27,Robot Usisivač X1,Kragujevac,17.65,8.0,141.2
2025-06-18,Senzor Pokreta,Niš,152.18,8.0,1217.44
2025-06-10,Prečišćivač AirPro,Beograd,438.16,1.0,438.16
2025-03-09,Pametna Brava Locky,Niš,265.25,5.0,1326.25
2025-10-16,Robot Usisivač X1,Subotica,121.86,3.0,365.58
2025-10-04,Pametna Sijalica RGB,Niš,239.56,1.0,239.56
2025-10-31,Pametna Sijalica RGB,Novi Sad,160.77,4.0,643.08
2025-05-15,Senzor Pokreta,Beograd,244.19,8.0,1953.52
2025-07-14,Prečišćivač AirPro,Novi Sad,65.33,3.0,195.99
2025-05-08,Robot Usisivač X1,Novi Sad,68.39,2.0,136.78
2025-02-02,Prečišćivač AirPro,Subotica,73.16,9.0,658.44
2025-06-25,Robot Usisivač X1,Beograd,423.52,5.0,2117.6
2025-01-22,Senzor Pokreta,Beograd,332.48,7.0,2327.36
2025-08-26,Senzor Pokreta,Beograd,81.45,2.0,162.9
2025-06-07,Pametna Sijalica RGB,Beograd,92.87,9.0,835.83
2025-02-07,Prečišćivač AirPro,Beograd,331.56,9.0,2984.04
2025-08-18,Pametna Sijalica RGB,Subotica,78.71,4.0,314.84
2025-12-31,Prečišćivač AirPro,Niš,113.21,4.0,452.84
2025-02-20,Pametna Sijalica RGB,Novi Sad,433.87,6.0,2603.22
2025-09-21,Pametna Brava Locky,Beograd,122.33,6.0,733.98
2025-10-10,Pametna Brava Locky,Niš,301.12,1.0,301.12
2025-01-27,Pametna Brava Locky,Niš,440.6,9.0,3965.4
2025-08-14,Pametna Brava Locky,Novi Sad,174.69,2.0,349.38
2025-10-04,Robot Usisivač X1,Subotica,17.71,5.0,88.55
2025-10-13,Pametna Brava Locky,Kragujevac,117.42,9.0,1056.78
2025-04-07,Senzor Pokreta,Kragujevac,375.59,4.0,1502.36
2025-10-11,Senzor Pokreta,Niš,390.43,3.0,1171.29
2025-11-13,Robot Usisivač X1,Novi Sad,348.15,7.0,2437.05
2025-10-31,Pametna Brava Locky,Kragujevac,59.77,6.0,358.62
2025-05-27,Pametna Brava Locky,Niš,360.02,8.0,2880.16
2025-01-04,Pametna Brava Locky,Subotica,414.22,3.0,1242.66
2025-02-04,Pametna Sijalica RGB,Kragujevac,274.27,5.0,1371.35
2025-06-21,Pametna Brava Locky,Subotica,263.96,8.0,2111.68
2025-08-08,Pametna Brava Locky,Beograd,163.37,6.0,980.22
2025-06-07,Pametna Sijalica RGB,Novi Sad,80.09,3.0,240.27
2025-02-15,Pametna Sijalica RGB,Beograd,276.18,5.0,1380.9
2025-01-06,Prečišćivač AirPro,Beograd,149.97,6.0,899.82
2025-04-09,Senzor Pokreta,Kragujevac,391.23,5.0,1956.15
2025-08-21,Prečišćivač AirPro,Niš,447.07,6.0,2682.42
2025-02-06,Pametna Sijalica RGB,Subotica,341.07,8.0,2728.56
2025-10-07,Pametna Sijalica RGB,Beograd,49.81,7.0,348.67
2025-12-15,Robot Usisivač X1,Subotica,137.02,5.0,685.1
2025-10-29,Pametna Sijalica RGB,Beograd,58.01,6.0,348.06
2025-06-30,Robot Usisivač X1,Novi Sad,296.23,4.0,1184.92
2025-04-05,Senzor Pokreta,Beograd,346.68,9.0,3120.12
2025-04-09,Prečišćivač AirPro,Kragujevac,417.3,4.0,1669.2
2025-07-07,Prečišćivač AirPro,Niš,202.8,1.0,202.8
2025-04-26,Robot Usisivač X1,Novi Sad,406.61,7.0,2846.27
2025-07-10,Prečišćivač AirPro,Beograd,396.27,7.0,2773.89
2025-09-10,Pametna Sijalica RGB,Subotica,149.57,4.0,598.28
2025-06-10,Pametna Brava Locky,Novi Sad,392.32,3.0,1176.96
2025-09-13,Robot Usisivač X1,Novi Sad,175.3,8.0,1402.4
2025-11-19,Prečišćivač AirPro,Beograd,140.62,5.0,703.1
2025-01-18,Robot Usisivač X1,Subotica,154.49,4.0,617.96
2025-10-08,Pametna Brava Locky,Novi Sad,287.29,4.0,1149.16
2025-08-11,Pametna Sijalica RGB,Subotica,278.33,8.0,2226.64
2025-02-23,Robot Usisivač X1,Beograd,257.91,8.0,2063.28
2025-02-27,Prečišćivač AirPro,Niš,177.38,2.0,354.76
2025-12-26,Robot Usisivač X1,Niš,272.45,3.0,817.35
2025-06-23,Robot Usisivač X1,Subotica,250.1,3.0,750.3
2025-04-24,Pametna Sijalica RGB,Kragujevac,16.45,3.0,49.35
2025-10-15,Senzor Pokreta,Niš,268.31,6.0,1609.86
2025-12-08,Prečišćivač AirPro,Novi Sad,84.12,8.0,672.96
2025-05-31,Senzor Pokreta,Niš,292.73,6.0,1756.38
2025-05-07,Prečišćivač AirPro,Novi Sad,344.11,5.0,1720.55
2025-06-04,Pametna Sijalica RGB,Beograd,230.2,4.0,920.8
2025-09-30,Prečišćivač AirPro,Niš,248.64,3.0,745.92
2025-04-14,Pametna Brava Locky,Kragujevac,428.65,4.0,1714.6
2025-10-26,Pametna Brava Locky,Kragujevac,382.75,7.0,2679.25
2025-02-08,Senzor Pokreta,Niš,57.92,1.0,57.92
2025-06-19,Pametna Sijalica RGB,Subotica,75.56,2.0,151.12
2025-09-04,Prečišćivač AirPro,Niš,241.71,4.0,966.84
2025-01-26,Prečišćivač AirPro,Novi Sad,118.27,1.0,118.27
2025-12-21,Pametna Brava Locky,Kragujevac,219.75,9.0,1977.75
2025-11-02,Pametna Brava Locky,Beograd,183.52,6.0,1101.12
2025-01-13,Robot Usisivač X1,Kragujevac,251.74,1.0,251.74
2025-11-12,Pametna Sijalica RGB,Subotica,338.63,1.0,338.63
2025-11-09,Senzor Pokreta,Beograd,324.82,6.0,1948.92
2025-02-05,Prečišćivač AirPro,Subotica,239.34,4.0,957.36
2025-06-22,Robot Usisivač X1,Novi Sad,371.85,4.0,1487.4
2025-01-20,Robot Usisivač X1,Beograd,199.58,6.0,1197.48
2025-11-17,Prečišćivač AirPro,Subotica,404.55,7.0,2831.85
2025-09-21,Senzor Pokreta,Novi Sad,41.36,9.0,372.24
2025-05-22,Robot Usisivač X1,Kragujevac,430.05,5.0,2150.25
2025-05-23,Robot Usisivač X1,Novi Sad,298.06,9.0,2682.54
2025-04-02,Pametna Sijalica RGB,Niš,177.23,4.0,708.92
2025-12-20,Senzor Pokreta,Novi Sad,96.75,2.0,193.5
2025-10-15,Senzor Pokreta,Niš,95.61,1.0,95.61
2025-08-03,Prečišćivač AirPro,Subotica,83.19,6.0,499.14
2025-12-08,Pametna Brava Locky,Subotica,281.63,6.0,1689.78
2025-02-20,Robot Usisivač X1,Novi Sad,240.16,1.0,240.16
2025-06-02,Pametna Sijalica RGB,Niš,304.84,3.0,914.52
2025-03-04,Senzor Pokreta,Kragujevac,244.19,3.0,732.57
2025-07-09,Prečišćivač AirPro,Subotica,265.61,3.0,796.83
2025-05-05,Robot Usisivač X1,Beograd,49.44,3.0,148.32
2025-11-10,Pametna Brava Locky,Subotica,185.96,5.0,929.8
2025-02-27,Prečišćivač AirPro,Kragujevac,439.76,4.0,1759.04
2025-12-08,Robot Usisivač X1,Beograd,372.2,1.0,372.2
2025-11-01,Pametna Sijalica RGB,Kragujevac,239.89,5.0,1199.45
2025-06-29,Senzor Pokreta,Beograd,64.22,5.0,321.1
2025-06-19,Prečišćivač AirPro,Novi Sad,388.14,4.0,1552.56
2025-11-22,Prečišćivač AirPro,Beograd,361.9,6.0,2171.4
2025-09-28,Pametna Brava Locky,Kragujevac,91.22,4.0,364.88
2025-02-23,Pametna Brava Locky,Subotica,139.92,7.0,979.44
2025-04-11,Pametna Sijalica RGB,Beograd,359.1,7.0,2513.7
2025-09-21,Pametna Sijalica RGB,Beograd,91.5,2.0,183.0
2025-02-22,Robot Usisivač X1,Niš,413.81,3.0,1241.43
2025-03-01,Robot Usisivač X1,Subotica,196.79,1.0,196.79
2025-04-18,Pametna Sijalica RGB,Novi Sad,48.3,8.0,386.4
2025-04-13,Senzor Pokreta,Novi Sad,174.34,4.0,697.36
2025-07-15,Pametna Brava Locky,Subotica,241.66,6.0,1449.96
2025-09-19,Robot Usisivač X1,Beograd,59.41,9.0,534.69
2025-12-31,Pametna Brava Locky,Beograd,11.14,6.0,66.84
2025-12-16,Pametna Brava Locky,Subotica,290.71,9.0,2616.39
2025-12-21,Senzor Pokreta,Beograd,271.16,8.0,2169.28
2025-11-07,Prečišćivač AirPro,Beograd,359.25,9.0,3233.25
2025-11-04,Senzor Pokreta,Kragujevac,294.51,4.0,1178.04
2025-05-24,Senzor Pokreta,Kragujevac,86.9,5.0,434.5
2025-09-26,Pametna Brava Locky,Niš,168.74,8.0,1349.92
2025-05-04,Senzor Pokreta,Novi Sad,408.59,6.0,2451.54
2025-04-16,Robot Usisivač X1,Subotica,348.78,7.0,2441.46
2025-06-07,Pametna Brava Locky,Subotica,254.92,3.0,764.76
2025-05-25,Prečišćivač AirPro,Niš,142.91,8.0,1143.28
