mesec,kategorija,region,prihod
5,,West, 6225 RSD 
6,Home,west ,$13968
12,Cloth,West,"7,490"
12,CLOTH,NORTH,
12,ELECTRONICS,NORTH, 12250 RSD 
12,CLOTH,West,$10378
4,,North,"3,333"
,Home, north,"4,711"
,,SOUTH,9479
11,home ,North, 10942 RSD 
10, electronics,North,"14,112"
7,Home,South,"8,122"
12, electronics,SOUTH,9617
9,Cloth,SOUTH,4343
7,ELECTRONICS,North,$2060
,Electronics,west ,$14312
1,,South,
1,CLOTH,South,
9,ELECTRONICS,NORTH,
11,Home,,"6,197"
, electronics,SOUTH, 11828 RSD 
9,CLOTH,North,8960
4, electronics,NORTH,$5640
Mesec 5,home ,West,"6,107"
9, electronics, north, 2338 RSD 
03,home ,,$13344
7,Cloth,,"9,119"
6,CLOTH,,8609
8,CLOTH,South,"13,834"
11,Electronics,West,
9,Home,,"13,551"
,home ,West,$10592
5,Electronics,west ,"5,157"
1, electronics,,6430
03, electronics, north, 13122 RSD 
10,Electronics,West,$11018
12,CLOTH,West,"5,294"
8, electronics, north,
11,,,"3,466"
6,Cloth, north,$9693
8,Cloth,West, 4667 RSD 
9,, north,2130
4,Electronics,West,$6278
1,,West,
,home ,west , 8640 RSD 
1,home ,North,2920
10,Electronics,West,14303
4,,,$13713
12,home ,NORTH,"2,545"
,CLOTH,South,
7,,SOUTH,$5810
2,CLOTH,North,"14,316"
03,home ,North,14605
1,Cloth,North, 2271 RSD 
5,home ,west ,"12,616"
1,CLOTH,West,$10190
8,ELECTRONICS,west ,"12,816"
1,Home,West,
11, electronics,,"10,567"
1,,west ,"2,145"
2,ELECTRONICS,west ,10623
2,home ,South,$4632
12,Cloth,NORTH, 9511 RSD 
6,Electronics,west ,12233
7,home ,South, 11130 RSD 
5,Cloth, north,$11655
1,Home,NORTH,"10,202"
1,home ,, 9878 RSD 
03,CLOTH,west ,
,Electronics,SOUTH,7429
2,Cloth,North,"3,389"
5,Cloth, north,
12,Cloth, north,2936
10,Home,,5845
6,home ,South,
7,Home, north,4736
4,,NORTH,3913
7, electronics,west ,$9657
11, electronics,west ,12301
8,,SOUTH,$14447
11,home ,,9287
1,CLOTH,North, 12568 RSD 
6,Home,South,$13873
8,Electronics,North,$9490
5,Cloth, north,3218
4,Cloth,,14457
2,home ,SOUTH,11752
6,CLOTH,North, 11175 RSD 
6, electronics,NORTH,7370
11, electronics,west ,
1,Cloth, north, 10228 RSD 
9,home ,SOUTH,10987
12,Home,North, 7233 RSD 
11, electronics,South,2317
6,Home,NORTH, 3591 RSD 
Mesec 5,CLOTH,NORTH,5930
03, electronics,North, 11477 RSD 
4, electronics,west , 5239 RSD 
12,ELECTRONICS,North,3704
11, electronics, north,"11,908"
4,,North,"5,738"
03,Electronics,NORTH,"2,556"
10,,SOUTH,$7150
03,home ,North,
03,home ,west ,"13,700"
4,Home,, 12321 RSD 
7,,SOUTH,10780
4,,South, 12177 RSD 
9,,West,11882
1,CLOTH,North,$14647
8, electronics,west , 6543 RSD 
7,Electronics,SOUTH,"3,007"
2,Home,west ,"13,718"
8,,South, 14094 RSD 
1,,NORTH,11437
11,ELECTRONICS,west , 9059 RSD 
12,Home,SOUTH,$9491
9,,west ,11109
9,Home,west ,"4,752"
2, electronics,west ,"8,353"
7,ELECTRONICS, north,2686
,Home, north,$10954
10,Electronics,NORTH,$12699
03,Electronics,North,
7,home ,west ,$14191
12,ELECTRONICS,South,"13,801"
10,ELECTRONICS,North, 5356 RSD 
9,home ,South,8540
4,Home,North,11078
12,ELECTRONICS,NORTH, 9027 RSD 
1,Electronics,west ,"5,155"
2,Electronics,west ,5778
1,,West, 13703 RSD 
, electronics,South, 8446 RSD 
12,ELECTRONICS,North,"6,179"
5,Home,North,7626
5,home ,,$2933
11,home ,,12047
7,Home, north,$12001
9,CLOTH,West, 5610 RSD 
9,Cloth,SOUTH,2984
03, electronics,,$10711
03,home ,SOUTH, 5633 RSD 
03,ELECTRONICS, north,
4, electronics, north,8059
8,ELECTRONICS, north,$6473
6,CLOTH,South,2526
8,Electronics,South,
1, electronics,NORTH, 14157 RSD 
7,,,6363
4,Home,west ,"10,580"
Mesec 5,ELECTRONICS, north,12040
11,Electronics, north,$5374
8,, north,"8,996"
Mesec 5,Home,South,$6530
5,Cloth, north,"8,881"
7,,NORTH,"10,017"
10,Home,North,$12674
03,Cloth,SOUTH,"14,536"
7,ELECTRONICS,West, 11550 RSD 
11,, north,$5177
11,Cloth,west , 6892 RSD 
8,Electronics, north,"5,472"
5,ELECTRONICS,west , 7971 RSD 
4,Electronics,NORTH,
8,home ,west ,7569
8, electronics,, 14330 RSD 
03,,West,8254
6,Cloth,North,$8238
5, electronics,west , 9687 RSD 
2, electronics,west ,11911
8,Cloth,North,$5266
12,ELECTRONICS,West,12161
,, north,9570
6,home ,west ,"14,891"
2,Electronics,North,8981
12,Home,,"2,523"
5,Electronics,,"12,160"
1,Home,NORTH,"9,240"
